//Class   Skill   Group   Value   BaseSpeed   MainSpeed   Comment
5         1126    1       0       1.200       0.006       //Chill Explosion
5         1127    1       0       1.200       0.006       //Bleed Explosion
6         0       0       0       2.000       0.012       //Melee
6         19      1       0       1.200       0.006       //Falling Slash
6         76      3       1       1.200       0.006       //Plasma Storm
6         260     1       0       1.200       0.006       //Large Ring Blower
6         261     4       0       1.200       0.006       //Upper Beast
6         262     4       0       1.200       0.006       //Chain Driver
6         263     4       0       1.200       0.006       //Dark Side
6         264     3       0       1.200       0.006       //Dragon Lore
6         265     1       0       1.200       0.006       //Dragon Slayer
6         266     0       0       1.200       0.006       //Greater Ignore Damage Rate
6         267     0       2       1.200       0.006       //Fitness
6         268     0       2       1.200       0.006       //Greater Defense Success Rate
6         270     1       0       1.200       0.006       //Phoenix Shot
6         282     3       0       1.200       0.006       //Spirit Hook
6         565     0       0       1.200       0.006       //Blood Howling
6         739     3       0       1.200       0.006       //Dark Phoenix Shot
6         740     0       2       1.200       0.006       //Archangel Will
6         1125    1       0       1.200       0.006       //Toxic Explosion
6         1126    1       0       1.200       0.006       //Chill Explosion
6         1127    1       0       1.200       0.006       //Bleed Explosion
7         0       0       0       2.000       0.012       //Melee
7         20      1       0       1.200       0.006       //Lunge
7         76      3       1       1.200       0.006       //Plasma Storm
7         271     1       0       1.200       0.006       //Spin Step
7         272     0       0       1.200       0.006       //Circle Shield
7         273     0       2       1.200       0.006       //Obsidian
7         274     1       0       1.200       0.006       //Magic Pin
7         276     1       0       1.200       0.006       //Harsh Strike
7         277     3       1       1.200       0.006       //Shining Peak
7         278     0       0       1.200       0.006       //Wrath
7         279     3       1       1.200       0.006       //Breche
7         700     0       0       1.200       0.006       //Burst
7         740     0       2       1.200       0.006       //Archangel Will
7         1125    1       0       1.200       0.006       //Toxic Explosion
7         1126    1       0       1.200       0.006       //Chill Explosion
7         1127    1       0       1.200       0.006       //Bleed Explosion
8         0       0       0       2.000       0.012       //Melee
8         1       1       0       1.200       0.006       //Poison
8         2       1       0       1.200       0.006       //Meteorite
8         4       1       0       1.200       0.006       //Fire Ball
8         5       2       1       1.200       0.006       //Flame
8         8       2       0       1.200       0.006       //Twister
8         9       2       1       1.200       0.006       //Evil Spirit
8         10      2       1       1.200       0.006       //Hell Fire
8         13      2       0       1.200       0.006       //Blast
8         14      2       1       1.200       0.006       //Inferno
8         17      1       0       1.200       0.006       //Energy Ball
8         39      3       0       1.200       0.006       //Ice Storm
8         76      3       1       1.200       0.006       //Plasma Storm
8         233     0       0       1.200       0.006       //Magic Circle
8         495     3       1       1.200       0.006       //Earth Prison
8         283     3       1       1.200       0.006       //Magic Arrow
8         284     3       1       1.200       0.006       //Plasma Ball
8         285     3       0       1.200       0.006       //Shock Blast
8         286     0       0       1.200       0.006       //Might
8         287     0       2       1.200       0.006       //Haste
8         740     0       2       1.200       0.006       //Archangel Will
8         1125    1       0       1.200       0.006       //Toxic Explosion
8         1126    1       0       1.200       0.006       //Chill Explosion
8         1127    1       0       1.200       0.006       //Bleed Explosion
9         0       0       0       2.000       0.012       //Melee
9         20      1       0       1.200       0.006       //Lunge
9         21      1       0       1.200       0.006       //Uppercut
9         22      1       0       1.200       0.006       //Cyclone
9         41      3       1       1.200       0.006       //Twisting Slash
9         42      3       1       1.200       0.006       //Rageful Blow
9         76      3       1       1.200       0.006       //Plasma Storm
9         292     3       1       1.200       0.006       //Sword Inertia
9         293     3       1       1.200       0.006       //Bat Flock
9         294     3       0       1.200       0.006       //Pierce Attack
9         295     0       0       1.200       0.006       //Detection
9         297     0       2       1.200       0.006       //Demolish
9         740     0       2       1.200       0.006       //Archangel Will
9         1125    1       0       1.200       0.006       //Toxic Explosion
9         1126    1       0       1.200       0.006       //Chill Explosion
9         1127    1       0       1.200       0.006       //Bleed Explosion
//Class   Skill   Group   Value   BaseSpeed   MainSpeed   Comment
10        0       0       0       2.000       0.012       //Melee
10        76      3       1       1.200       0.006       //Plasma Storm
10        740     0       2       1.200       0.006       //Archangel Will
10        1125    1       0       1.200       0.006       //Toxic Explosion
10        1126    1       0       1.200       0.006       //Chill Explosion
10        1127    1       0       1.200       0.006       //Bleed Explosion
10        2001    3       1       1.200       0.006       //Dark Plasma
10        2002    3       1       1.200       0.006       //Ice Break
10        2003    3       1       1.200       0.006       //Ice Blast
10        2004    3       1       1.200       0.006       //Death Fire
10        2005    3       1       1.200       0.006       //Bursting Flare
10        2006    3       1       1.200       0.006       //Death Ice
end
