//BaseIndex   MainIndex   CoinValue   ItemIndex   ItemLevel   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   ItemSetOption   ItemJoHOption   Item380Option   ItemSocketOption1   ItemSocketOption2   ItemSocketOption3   ItemSocketOption4   ItemSocketOption5   ItemQuantity   ItemDuration
10            15          700         6700        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
10            16          2100        6700        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              2592000
11            17          80          6701        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
11            18          680         6701        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              864000
11            19          1250        6701        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              2592000
38            62          120         6718        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
38            63          600         6718        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
39            64          100         6719        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
39            65          500         6719        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
50            77          100         6749        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
50            78          500         6749        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
50            79          1400        6749        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              2592000
51            80          150         6750        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
51            81          700         6750        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
51            82          2100        6750        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              2592000
73            123         120         6760        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
73            124         600         6760        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
74            125         120         6761        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
74            126         600         6761        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
26            43          100         7241        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
26            44          500         7241        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
25            41          150         7240        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
25            42          700         7240        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
27            45          150         7242        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
27            46          700         7242        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
28            47          150         7243        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
28            48          700         7243        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
37            60          150         7266        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
37            61          700         7266        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
36            58          150         7265        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
36            59          700         7265        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
30            51          100         7245        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
30            52          500         7245        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
29            49          100         7244        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
29            50          500         7244        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
60            99          150         6736        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
60            100         700         6736        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
61            101         150         6779        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
61            102         700         6779        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
20            31          100         6720        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
20            32          500         6720        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
20            33          1400        6720        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              2592000
21            34          100         6721        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
21            35          500         6721        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
21            36          1400        6721        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              2592000
57            93          100         6732        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
57            94          500         6732        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
58            95          100         6676        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
58            96          500         6676        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
71            119         130         6763        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
71            120         600         6763        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
59            97          100         6778        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
59            98          500         6778        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
62            103         80          6765        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
62            104         400         6765        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
63            105         80          6766        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
63            106         400         6766        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
64            107         80          6767        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
64            108         400         6767        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
65            109         80          6768        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
65            110         400         6768        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
66            111         90          6769        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
66            112         450         6769        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
67            113         90          6770        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
67            114         450         6770        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
68            115         90          6771        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
68            116         450         6771        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
12            20          100         6702        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 1              0
12            21          900         6702        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 10             0
13            22          100         6703        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 1              0
13            23          900         6703        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 10             0
19            29          150         6717        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 1              0
19            30          1350        6717        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 10             0
47            73          80          6704        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 1              0
47            74          720         6704        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 10             0
79            134         100         6783        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 1              0
79            135         900         6783        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 10             0
76            129         40          7301        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 10             0
23            39          20          7238        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 20             0
24            40          20          7239        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 20             0
86            144         200         7245        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              21600
85            143         200         7244        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              21600
84            142         300         7243        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              21600
83            141         300         7242        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              21600
end
