//Category   BaseIndex   MainIndex   ItemIndex   CoinIndex   CoinValue   BonusGP   BaseIdx1   BaseIdx2   BaseIdx3   BaseIdx4   BaseIdx5   BaseIdx6   BaseIdx7   BaseIdx8   BaseIdx9   BaseIdx10   MainIdx1   MainIdx2   MainIdx3   MainIdx4   MainIdx5   MainIdx6   MainIdx7   MainIdx8   MainIdx9   MainIdx10
29           5           73          6719        508         100         0         39         0          0          0          0          0          0          0          0          0           64         65         0          0          0          0          0          0          0          0
29           6           51          6749        508         100         0         50         0          0          0          0          0          0          0          0          0           77         78         79         0          0          0          0          0          0          0
29           7           49          6750        508         150         0         51         0          0          0          0          0          0          0          0          0           80         81         82         0          0          0          0          0          0          0
29           8           8           6760        508         120         0         73         0          0          0          0          0          0          0          0          0           123        124        0          0          0          0          0          0          0          0
29           9           7           6761        508         120         0         74         0          0          0          0          0          0          0          0          0           125        126        0          0          0          0          0          0          0          0
29           14          91          7241        508         100         0         26         0          0          0          0          0          0          0          0          0           43         44         0          0          0          0          0          0          0          0
29           15          93          7240        508         150         0         25         0          0          0          0          0          0          0          0          0           41         42         0          0          0          0          0          0          0          0
29           16          89          7242        508         150         0         27         0          0          0          0          0          0          0          0          0           45         46         0          0          0          0          0          0          0          0
29           17          87          7243        508         150         0         28         0          0          0          0          0          0          0          0          0           47         48         0          0          0          0          0          0          0          0
29           18          77          7266        508         150         0         37         0          0          0          0          0          0          0          0          0           60         61         0          0          0          0          0          0          0          0
29           19          79          7265        508         150         0         36         0          0          0          0          0          0          0          0          0           58         59         0          0          0          0          0          0          0          0
29           20          83          7245        508         100         0         30         0          0          0          0          0          0          0          0          0           51         52         0          0          0          0          0          0          0          0
29           21          85          7244        508         100         0         29         0          0          0          0          0          0          0          0          0           49         50         0          0          0          0          0          0          0          0
30           1           31          6736        508         150         0         60         0          0          0          0          0          0          0          0          0           99         100        0          0          0          0          0          0          0          0
30           2           29          6779        508         150         0         61         0          0          0          0          0          0          0          0          0           101        102        0          0          0          0          0          0          0          0
30           4           103         6720        508         100         0         20         0          0          0          0          0          0          0          0          0           31         32         33         0          0          0          0          0          0          0
30           5           101         6721        508         100         0         21         0          0          0          0          0          0          0          0          0           34         35         36         0          0          0          0          0          0          0
31           1           37          6732        508         100         0         57         0          0          0          0          0          0          0          0          0           93         94         0          0          0          0          0          0          0          0
31           2           35          6676        508         100         0         58         0          0          0          0          0          0          0          0          0           95         96         0          0          0          0          0          0          0          0
31           3           148         6763        508         130         0         71         0          0          0          0          0          0          0          0          0           119        120        0          0          0          0          0          0          0          0
31           4           33          6778        508         100         0         59         0          0          0          0          0          0          0          0          0           97         98         0          0          0          0          0          0          0          0
31           5           27          6765        508         80          0         62         0          0          0          0          0          0          0          0          0           103        104        0          0          0          0          0          0          0          0
31           6           25          6766        508         80          0         63         0          0          0          0          0          0          0          0          0           105        106        0          0          0          0          0          0          0          0
31           7           23          6767        508         80          0         64         0          0          0          0          0          0          0          0          0           107        108        0          0          0          0          0          0          0          0
31           8           21          6768        508         80          0         65         0          0          0          0          0          0          0          0          0           109        110        0          0          0          0          0          0          0          0
31           9           19          6769        508         90          0         66         0          0          0          0          0          0          0          0          0           111        112        0          0          0          0          0          0          0          0
31           10          17          6770        508         90          0         67         0          0          0          0          0          0          0          0          0           113        114        0          0          0          0          0          0          0          0
31           11          15          6771        508         90          0         68         0          0          0          0          0          0          0          0          0           115        116        0          0          0          0          0          0          0          0
32           4           119         6702        508         100         0         12         0          0          0          0          0          0          0          0          0           20         21         0          0          0          0          0          0          0          0
32           5           117         6703        508         100         0         13         0          0          0          0          0          0          0          0          0           22         23         0          0          0          0          0          0          0          0
32           6           105         6717        508         150         0         19         0          0          0          0          0          0          0          0          0           29         30         0          0          0          0          0          0          0          0
32           7           57          6704        508         80          0         47         0          0          0          0          0          0          0          0          0           73         74         0          0          0          0          0          0          0          0
32           8           149         6783        508         100         0         79         0          0          0          0          0          0          0          0          0           134        135        0          0          0          0          0          0          0          0
46           1           5           7301        508         40          0         76         0          0          0          0          0          0          0          0          0           129        0          0          0          0          0          0          0          0          0
46           2           97          7238        508         20          0         23         0          0          0          0          0          0          0          0          0           39         0          0          0          0          0          0          0          0          0
46           3           95          7239        508         20          0         24         0          0          0          0          0          0          0          0          0           40         0          0          0          0          0          0          0          0          0
34           1           138         7245        0           200         0         86         0          0          0          0          0          0          0          0          0           144        0          0          0          0          0          0          0          0          0
34           2           137         7244        0           200         0         85         0          0          0          0          0          0          0          0          0           143        0          0          0          0          0          0          0          0          0
34           3           136         7243        0           300         0         84         0          0          0          0          0          0          0          0          0           142        0          0          0          0          0          0          0          0          0
34           4           135         7242        0           300         0         83         0          0          0          0          0          0          0          0          0           141        0          0          0          0          0          0          0          0          0
end
