//Index   Name                                 Option1   Value1   Option2   Value2   Option3   Value3   Option4   Value4   Option5   Value5   Option6   Value6   Option7   Value7   Option8   Value8   Option9   Value9   Option10   Value10   Option11   Value11   Option12   Value12   FullOption1   FullValue1   FullOption2   FullValue2   FullOption3   FullValue3   FullOption4   FullValue4   FullOption5   FullValue5   FullOption6   FullValue6   FullOption7   FullValue7
21        "Ceto"                               1         10       *         *        11        50       *         *        10        20       *         *        22        5        *         *        2         10       *          *         *          *         *          *         11            50           0             20           *             *            *             *            *             *            *             *            *             *
22        "Drake"                              1         20       *         *        8         25       *         *        20        20       *         *        *         *        *         *        *         *        *          *         *          *         *          *         10            40           15            10           *             *            *             *            *             *            *             *            *             *
23        "Gaia"                               19        10       *         *        12        25       *         *        0         10       *         *        20        5        *         *        *         *        *          *         *          *         *          *         1             30           17            10           18            10           *             *            *             *            *             *            *             *
24        "Fase"                               11        100      *         *        12        100      *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         10            100          *             *            *             *            *             *            *             *            *             *            *             *
25        "Odin"                               2         15       *         *        11        50       *         *        9         50       *         *        1         30       *         *        *         *        *          *         *          *         *          *         12            50           21            5            13            50           *             *            *             *            *             *            *             *
26        "Elvian"                             1         30       *         *        *         *        *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         21            5            *             *            *             *            *             *            *             *            *             *            *             *
27        "Argo"                               6         20       *         *        19        25       *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         13            50           20            5            *             *            *             *            *             *            *             *            *             *
28        "Karis"                              19        15       *         *        20        10       *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            10           1             40           *             *            *             *            *             *            *             *            *             *
29        "Gywen"                              1         30       *         *        5         20       *         20       10        20       *         *        6         20       *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           *             *            *             *            *             *
30        "Aruan"                              8         10       *         *        20        10       *         *        19        20       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           21            5            *             *            *             *            *             *            *             *
31        "Gaion"                              21        5        *         *        20        15       *         *        19        15       *         *        *         *        *         *        *         *        *          *         *          *         *          *         17            15           18            30           7             10           0             30           *             *            *             *            *             *
32        "Muren"                              19        10       *         *        7         10       *         *        20        10       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           10            25           23            20           *             *            *             *            *             *
33        "Agnis"                              20        10       *         *        10        40       *         *        19        20       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           *             *            *             *            *             *
34        "Broy"                               8         20       *         *        19        20       *         *        2         30       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           21            5            4             30           *             *            *             *            *             *
35        "Chrono"                             20        20       *         *        10        60       *         *        19        30       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           *             *            *             *            *             *
36        "Semeden"                            7         15       *         *        19        25       *         *        2         30       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           21            5            *             *            *             *            *             *            *             *
37        "Vega"                               9         50       *         *        3         50       *         *        6         30       *         *        *         *        *         *        *         *        *          *         *          *         *          *         17            15           20            5            21            5            *             *            *             *            *             *            *             *
38        "Chamer"                             10        50       *         *        20        5        *         *        8         30       *         *        *         *        *         *        *         *        *          *         *          *         *          *         16            30           17            15           19            30           18            20           *             *            *             *            *             *
39        "Moros"                              11        30       *         *        19        25       *         *        10        20       *         *        20        10       *         *        *         *        *          *         *          *         *          *         15            10           17            10           16            10           18            10           *             *            *             *            *             *
40        "Dione"                              11        30       *         *        19        25       *         *        10        20       *         *        20        10       *         *        *         *        *          *         *          *         *          *         15            10           17            10           16            10           18            10           *             *            *             *            *             *
41        "Hades"                              11        30       *         *        19        25       *         *        10        20       *         *        20        10       *         *        *         *        *          *         *          *         *          *         15            10           17            10           16            10           18            10           *             *            *             *            *             *
42        "Ophion"                             11        30       *         *        19        25       *         *        10        20       *         *        20        10       *         *        *         *        *          *         *          *         *          *         15            10           17            10           16            10           18            10           *             *            *             *            *             *
43        "Meter"                              11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             *
44        "Hegaton"                            11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             *
45        "Castol"                             11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             *
46        "Taros"                              11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             *
47        "Nemesis"                            11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             *
48        "Amis"                               11        50       *         *        10        40       *         *        20        15       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           21            5            *             *            *             *
49        "Trite"                              11        50       *         *        10        40       *         *        20        15       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           21            5            *             *            *             *
50        "Mahes"                              11        100      *         *        *         *        *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         21            6            22            17           *             *            *             *            *             *            *             *            *             *
51        "Bes"                                2         200      *         *        *         *        *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         7             9            19            80           *             *            *             *            *             *            *             *            *             *
52        "Serket"                             1         40       *         *        *         *        *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         10            90           8             40           *             *            *             *            *             *            *             *            *             *
53        "Apis"                               0         60       *         *        *         *        *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         16            40           18            40           *             *            *             *            *             *            *             *            *             *
54        "Khons"                              11        200      *         *        *         *        *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            3            17            3            *             *            *             *            *             *            *             *            *             *
55        "Hapy"                               1         10       *         *        *         *        *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         21            1            10            40           *             *            *             *            *             *            *             *            *             *
56        "Horus"                              5         80       *         *        *         *        *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         19            60           20            4            *             *            *             *            *             *            *             *            *             *
57        "Bragi"                              0         10       *         *        0         20       *         *        0         30       *         *        11        50       *         *        *         *        *          *         *          *         *          *         5             30           23            6            20            3            19            50           *             *            *             *            *             *
58        "Alvis"                              20        1        *         *        20        2        *         *        20        3        *         *        2         10       *         *        *         *        *          *         *          *         *          *         21            1            15            8            17            8            22            8            *             *            *             *            *             *
59        "Frigg"                              5         40       *         *        6         40       *         *        5         50       *         *        6         50       *         *        *         *        *          *         *          *         *          *         15            7            17            7            11            50           10            20           *             *            *             *            *             *
60        "Tyr"                                0         20       *         *        1         20       *         *        2         20       *         *        3         20       *         *        *         *        *          *         *          *         *          *         20            1            7             1            23            6            17            12           *             *            *             *            *             *
61        "Surt"                               22        2        *         *        10        20       *         *        0         30       *         *        11        70       *         *        *         *        *          *         *          *         *          *         19            40           16            80           15            11           2             60           *             *            *             *            *             *
62        "Elune"                              17        8        *         *        17        9        *         *        17        10       *         *        20        12       *         *        *         *        *          *         *          *         *          *         19            80           10            40           12            200          7             13           *             *            *             *            *             *
63        "Magni"                              6         5        *         *        6         10       *         *        6         15       *         *        11        100      *         *        *         *        *          *         *          *         *          *         10            50           18            10           17            8            8             60           *             *            *             *            *             *
71        "Dorov"                              8         20       19        20       11        100      12        100      22        5        *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            10           17            10           *             *            *             *            *             *            *             *            *             *
72        "Anas"                               19        20       *         *        10        40       *         *        20        10       *         *        *         *        *         *        *         *        *          *         *          *         *          *         8             20           15            15           17            15           22            5            *             *            *             *            *             *
73        "Akhir"                              19        30       *         *        0         30       *         *        18        20       *         *        *         *        *         *        *         *        *          *         *          *         *          *         16            20           15            15           17            15           21            5            *             *            *             *            *             *
74        "Camill"                             5         30       *         *        6         50       *         *        20        10       *         *        *         *        *         *        *         *        *          *         *          *         *          *         8             20           15            15           17            15           22            5            *             *            *             *            *             *
75        "Carthy"                             19        30       *         *        1         30       *         *        18        20       *         *        *         *        *         *        *         *        *          *         *          *         *          *         16            20           15            15           17            15           21            5            *             *            *             *            *             *
76        "Dria"                               11        30       *         *        19        25       *         *        10        20       *         *        20        10       *         *        *         *        *          *         *          *         *          *         15            10           17            10           16            10           18            10           *             *            *             *            *             *
77        "Deruff"                             11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             *
78        "Fury"                               19        25       0         50       20        10       26        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
80        "Transcendence"                      19        25       2         50       20        10       27        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
82        "Flurry"                             19        25       1         50       20        10       26        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
84        "Honor"                              19        25       2         50       20        10       27        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
86        "Extremity"                          19        25       0         50       20        10       26        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
88        "Conquest"                           19        25       0         50       20        10       26        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
90        "Destruction"                        19        25       0         50       20        10       26        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
92        "Tenacity"                           19        25       0         50       20        10       26        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
94        "Apprentice Knight"                  19        5        *         *        8         7        *         *        20        1        *         *        26        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             *
95        "Dark Knight"                        19        7        *         *        8         10       *         *        20        3        *         *        26        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             *
96        "Apprentice Wizard"                  7         7        *         *        19        7        *         *        20        1        *         *        27        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             *
97        "Dark Wizard"                        7         10       *         *        19        10       *         *        20        3        *         *        27        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             *
98        "Young Elf"                          19        5        *         *        8         7        *         *        20        1        *         *        26        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             *
99        "Elf"                                19        7        *         *        8         10       *         *        20        3        *         *        26        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             *
100       "Apprentice Magic Knight"            8         7        *         *        19        5        *         *        20        1        *         *        *         *        *         *        *         *        *          *         *          *         *          *         26            30           27            30           25            20           *             *            *             *            *             *            *             *
101       "Magic Knight"                       8         10       *         *        19        7        *         *        20        3        *         *        *         *        *         *        *         *        *          *         *          *         *          *         26            50           27            50           25            40           21            3            *             *            *             *            *             *
102       "Junior Lord"                        19        5        *         *        8         7        *         *        20        1        *         *        26        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             *
103       "Dark Lord"                          19        7        *         *        8         10       *         *        20        3        *         *        26        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             *
104       "Apprentice Summoner"                7         7        *         *        19        7        *         *        20        1        *         *        27        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             *
105       "Summoner"                           7         10       *         *        19        10       *         *        20        3        *         *        27        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             *
106       "Apprentice Fighter"                 10        20       *         *        8         7        *         *        20        1        *         *        *         *        *         *        *         *        *          *         *          *         *          *         26            30           25            20           *             *            *             *            *             *            *             *            *             *
107       "Fighter"                            10        40       *         *        8         10       *         *        20        3        *         *        *         *        *         *        *         *        *          *         *          *         *          *         26            50           25            40           21            3            *             *            *             *            *             *            *             *
108       "Apprentice Lancer"                  22        7        *         *        8         7        *         *        20        1        *         *        26        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             *
109       "Lancer"                             22        10       *         *        8         10       *         *        20        3        *         *        26        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             *
110       "Courage"                            19        30       0         70       20        15       26        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            30           15            18           17            18           *             *            *             *
111       "Wisdom"                             19        40       2         70       20        15       27        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            40           15            18           17            18           *             *            *             *
112       "Speed"                              19        30       1         70       20        15       26        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            30           15            18           17            18           *             *            *             *
113       "Chaos"                              19        40       2         70       20        15       27        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            40           15            18           17            18           *             *            *             *
114       "Determination"                      19        30       0         70       20        15       26        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            30           15            18           17            18           *             *            *             *
115       "Justice"                            19        30       0         70       20        15       26        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            30           15            18           17            18           *             *            *             *
116       "Will"                               19        30       0         70       20        15       26        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            25           15            18           17            18           *             *            *             *
117       "Retribution"                        19        30       0         70       20        15       26        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            25           15            18           17            18           *             *            *             *
118       "Protection"                         19        35       0         90       20        18       26        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            40           15            20           17            20           *             *            *             *
119       "Tranquil"                           19        50       2         90       20        18       27        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            60           15            20           17            20           *             *            *             *
120       "Of"                                 19        35       1         90       20        18       26        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            40           15            20           17            20           *             *            *             *
121       "Guardian"                           19        50       2         90       20        18       27        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            60           15            20           17            20           *             *            *             *
122       "Solid"                              19        35       0         90       20        18       26        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            40           15            20           17            20           *             *            *             *
123       "Determined"                         19        35       0         90       20        18       26        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            40           15            20           17            20           *             *            *             *
124       "Muscular"                           19        35       0         90       20        18       26        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            35           15            20           17            20           *             *            *             *
125       "Sacred"                             19        35       0         90       20        18       26        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            35           15            20           17            20           *             *            *             *
126       "Salvific"                           2         50       29        7        28        7        22        7        30        10       10        40       *         *        *         *        *         *        *          *         *          *         *          *         11            70           24            10           25            40           *             *            *             *            *             *            *             *
127       "Resurgent"                          2         70       29        16       28        16       22        14       30        20       10        80       *         *        *         *        *         *        *          *         *          *         *          *         11            150          24            15           25            65           *             *            *             *            *             *            *             *
128       "Healing"                            2         100      29        35       28        35       22        25       30        35       10        150      *         *        *         *        *         *        *          *         *          *         *          *         11            300          24            20           25            100          *             *            *             *            *             *            *             *
129       "Horsepower"                         19        25       2         50       20        10       27        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             *
130       "Fallen"                             19        40       2         70       20        15       27        75       15        18       17        18       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            40           16            35           18            50           *             *            *             *
131       "Decisive"                           19        50       2         90       20        18       27        100      15        20       17        20       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            60           16            40           18            70           *             *            *             *
132       "Awakening Knight"                   19        40       0         100      20        18       120       0        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
133       "Awakening Wizard"                   19        55       2         100      20        18       121       1        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
134       "Awakening Elf"                      19        45       1         100      20        18       120       5        124       9        123       8        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
135       "Awakening Summoner"                 19        55       2         100      20        18       121       1        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
136       "Awakening Magic"                    19        40       0         100      20        18       120       0        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
137       "Awakening Lord"                     19        55       0         100      20        18       120       5        124       9        123       8        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
138       "Awakening Fighter"                  19        40       0         100      20        18       120       0        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
139       "Awakening Lancer"                   19        45       0         100      20        18       120       5        124       9        123       8        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
140       "Awakening Elf"                      2         120      29        43       28        43       22        35       30        50       10        220      *         *        *         *        *         *        *          *         *          *         *          *         11            480          24            25           122           2            *             *            *             *            *             *            *             *
141       "Awakening Magic"                    19        55       2         100      20        18       121       1        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             *
142       "Arkadin"                            21        5        *         *        7         10       *         *        2         30       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           *             *            *             *            *             * 
143       "Emile"                              20        10       *         *        11        300      *         *        10        45       *         *        *         *        *         *        *         *        *          *         *          *         *          *         19            10           15            15           17            15           13            50           *             *            *             *            *             * 
144       "Plural"                             19        25       2         50       20        10       27        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             * 
145       "Cool"                               19        40       2         70       20        15       27        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            40           15            18           17            18           *             *            *             * 
146       "Perth"                              11        30       *         *        19        25       *         *        10        20       *         *        20        10       *         *        *         *        *          *         *          *         *          *         15            10           17            10           16            10           18            10           *             *            *             *            *             * 
147       "Payhugh"                            11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             * 
148       "Apprentice Runic"                   7         7        *         *        19        7        *         *        20        1        *         *        27        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             * 
149       "Rune of the Wizard"                 7         10       *         *        19        10       *         *        20        3        *         *        27        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             * 
150       "Articles of the Cold"               126       21       127       15       20        18       120       19       124       23       123       22       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
151       "Witchcraft"                         126       25       129       15       20        18       121       20       124       23       123       22       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
152       "Fairy of the Cold (A)"              126       28       128       15       20        18       120       24       124       27       123       26       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
153       "Summerner of the Cold"              126       25       129       15       20        18       121       20       124       23       123       22       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
154       "Wizard of the Cold (A)"             126       21       127       15       20        18       120       19       124       23       123       22       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
155       "Lord of Cold"                       126       25       127       15       20        18       120       24       124       27       123       26       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
156       "Fighter of the Cold"                126       21       127       15       20        18       120       19       124       23       123       22       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
157       "Lancer of the Cold"                 126       28       127       15       20        18       120       24       124       27       123       26       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
158       "Fairy of the Cold (B)"              129       29       29        51       28        51       22        45       30        65       10        270      *         *        *         *        *         *        *          *         *          *         *          *         11            550          130           16           122           18           125           17           *             *            *             *            *             * 
159       "Wizard of the Cold (B)"             126       25       129       29       20        18       121       20       124       23       123       22       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
160       "Obsessive"                          19        50       2         90       20        18       27        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            60           15            20           17            20           *             *            *             * 
//Index   Name                                 Option1   Value1   Option2   Value2   Option3   Value3   Option4   Value4   Option5   Value5   Option6   Value6   Option7   Value7   Option8   Value8   Option9   Value9   Option10   Value10   Option11   Value11   Option12   Value12   FullOption1   FullValue1   FullOption2   FullValue2   FullOption3   FullValue3   FullOption4   FullValue4   FullOption5   FullValue5   FullOption6   FullValue6   FullOption7   FullValue7
161       "Runic Mage"                         19        55       2         100      20        18       121       1        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             * 
162       "Runic Mage"                         126       25       129       15       20        18       121       20       124       23       123       22       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
163       "Vesper"                             11        100      *         *        19        20       *         *        17        15       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           20            10           *             *            *             *            *             *            *             *            *             * 
164       "Molosos"                            10        50       *         *        5         20       6         30       20        5        *         *        *         *        *         *        *         *        *          *         *          *         *          *         21            5            17            15           19            15           *             *            *             *            *             *            *             * 
165       "Metis"                              11        30       *         *        19        25       *         *        10        20       *         *        20        10       *         *        *         *        *          *         *          *         *          *         15            10           17            10           16            10           18            10           *             *            *             *            *             * 
166       "Ceres"                              11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             * 
167       "Apprenticeship"                     19        5        *         *        8         7        *         *        20        1        *         *        26        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             * 
168       "Slayer"                             19        7        *         *        8         10       *         *        20        3        *         *        26        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             * 
169       "Heartless"                          19        25       0         50       20        10       26        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             * 
