//Index   Group   Value   Comment
4750      1       1       //Darkangel Magic Pants (A)
4751      1       1       //Darkangel Lord Pants
4752      1       1       //Darkangel Fighter Pants
4753      1       1       //Darkangel Lancer Pants
4758      1       2       //Holyangel Knight Pants
4759      1       2       //Holyangel Wizard Pants
4760      1       2       //Holyangel Elf Pants (A)
4761      1       2       //Holyangel Summoner Pants
4762      1       2       //Holyangel Magic Pants (A)
4763      1       2       //Holyangel Lord Pants
4764      1       2       //Holyangel Fighter Pants
4765      1       2       //Holyangel Lancer Pants
4766      1       0       //Bloodangel Elf Pants (B)
4767      1       1       //Darkangel Elf Pants (B)
4768      1       2       //Holyangel Elf Pants (B)
4769      1       0       //Bloodangel Magic Pants (B)
4770      1       1       //Darkangel Magic Pants (B)
4771      1       2       //Holyangel Magic Pants (B)
4772      1       4       //Blue Eye Knight Pants
4773      1       4       //Blue Eye Wizard Pants
4774      1       4       //Blue Eye Elf Pants (A)
4775      1       4       //Blue Eye Summoner Pants
4776      1       4       //Blue Eye Magic Pants (A)
4777      1       4       //Blue Eye Lord Pants
4778      1       4       //Blue Eye Fighter Pants
4779      1       4       //Blue Eye Lancer Pants
4780      1       4       //Blue Eye Elf Pants (B)
4781      1       4       //Blue Eye Magic Pants (B)
4788      1       0       //Bloodangel Slayer Pants
4789      1       1       //Darkangel Slayer Pants
4790      1       2       //Holyangel Slayer Pants
4791      1       3       //Soul Slayer Pants
4792      1       4       //Blue Eye Slayer Pants
4797      1       5       //Silverheart Knight Pants
4798      1       5       //Silverheart Wizard Pants
4799      1       5       //Silverheart Elf Pants (A)
4800      1       5       //Silverheart Summoner Pants
4801      1       5       //Silverheart Magic Pants (A)
4802      1       5       //Silverheart Lord Pants
4803      1       5       //Silverheart Fighter Pants
4804      1       5       //Silverheart LancerPants
4805      1       5       //Silverheart Elf Pants (B)
4806      1       5       //Silverheart Magic Pants (B)
4807      1       5       //Silverheart Runist Pants
5218      1       0       //Bloodangel Knight Gloves
5219      1       0       //Bloodangel Wizard Gloves
5220      1       0       //Bloodangel Elf Gloves (A)
5221      1       0       //Bloodangel Summoner Gloves
5222      1       0       //Bloodangel Magic Gloves (A)
5223      1       0       //Bloodangel Lord Gloves
5225      1       0       //Bloodangel Lancer Gloves
5226      1       3       //Awakening Soul Knight Gloves
5227      1       3       //Awakening Soul Wizard Gloves
5228      1       3       //Awakening Soul Elf Gloves (A)
5229      1       3       //Awakening Soul Summoner Gloves
5230      1       3       //Awakening Soul Magic Gloves (A)
5231      1       3       //Awakening Soul Lord Gloves
5233      1       3       //Awakening Soul Lancer Gloves
5234      1       3       //Awakening Soul Elf Gloves (B)
5235      1       3       //Awakening Soul Magic Gloves (B)
5242      1       0       //Bloodangel Runist Glove
5243      1       1       //Darkangel Runist Gloves
5247      1       2       //Holyangel Runist Gloves
5248      1       3       //Awakening Soul Runist Gloves
5249      1       4       //Blue Eye Runist Gloves
5258      1       1       //Darkangel Knight Gloves
5259      1       1       //Darkangel Wizard Gloves
5260      1       1       //Darkangel Elf Gloves (A)
5261      1       1       //Darkangel Summoner Gloves
5262      1       1       //Darkangel Magic Gloves (A)
5263      1       1       //Darkangel Lord Gloves
5265      1       1       //Darkangel Lancer Gloves
5270      1       2       //Holyangel Knight Gloves
5271      1       2       //Holyangel Wizard Gloves
5272      1       2       //Holyangel Elf Gloves (A)
5273      1       2       //Holyangel Summoner Gloves
5274      1       2       //Holyangel Magic Gloves (A)
5275      1       2       //Holyangel Lord Gloves
5277      1       2       //Holyangel Lancer Gloves
5278      1       0       //Bloodangel Elf Gloves (B)
5279      1       1       //Darkangel Elf Gloves (B)
5280      1       2       //Holyangel Elf Gloves (B)
5281      1       0       //Bloodangel Magic Gloves (B)
5282      1       1       //Darkangel Magic Gloves (B)
5283      1       2       //Holyangel Magic Gloves (B)
5284      1       4       //Blue Eye Knight Gloves
5285      1       4       //Blue Eye Wizard Gloves
5286      1       4       //Blue Eye Elf Gloves (A)
5287      1       4       //Blue Eye Summoner Gloves
5288      1       4       //Blue Eye Magic Gloves (A)
5289      1       4       //Blue Eye Lord Gloves
5291      1       4       //Blue Eye Lancer Gloves
5292      1       4       //Blue Eye Elf Gloves (B)
5293      1       4       //Blue Eye Magic Gloves (B)
5300      1       0       //Bloodangel Slayer Gloves
5301      1       1       //Darkangel Slayer Gloves
5302      1       2       //Holyangel Slayer Gloves
5303      1       3       //Soul Slayer Gloves
5304      1       4       //Blue Eye Slayer Gloves
5309      1       5       //Silverheart Knight Gloves
5310      1       5       //Silverheart Wizard Gloves
5311      1       5       //Silverheart Elf Gloves (A)
5312      1       5       //Silverheart Summoner Gloves
5313      1       5       //Silverheart Magic Gloves (A)
5314      1       5       //Silverheart Lord Gloves
5316      1       5       //Silverheart Lancer Gloves
5317      1       5       //Silverheart Elf Gloves (B)
5318      1       5       //Silverheart Magic Gloves (B)
5319      1       5       //Silverheart Runist Gloves
5730      1       0       //Bloodangel Knight Boots
5731      1       0       //Bloodangel Wizard Boots
5732      1       0       //Bloodangel Elf Boots (A)
5733      1       0       //Bloodangel Summoner Boots
5734      1       0       //Bloodangel Magic Boots (A)
5735      1       0       //Bloodangel Lord Boots
5736      1       0       //Bloodangel Fighter Boots
5737      1       0       //Bloodangel Lancer Boots
5738      1       3       //Awakening Soul Knight Boots
5739      1       3       //Awakening Soul Wizard Boots
5740      1       3       //Awakening Soul Elf Boots (A)
5741      1       3       //Awakening Soul Summoner Boots
5742      1       3       //Awakening Soul Magic Boots (A)
5743      1       3       //Awakening Soul Lord Boots
5744      1       3       //Awakening Soul Fighter Boots
5745      1       3       //Awakening Soul Lancer Boots
5746      1       3       //Awakening Soul Elf Boots (B)
5747      1       3       //Awakening Soul Magic Boots (B)
5754      1       0       //Bloodangel Runist Boots
5755      1       1       //Darkangel Runist Boots
5759      1       2       //Holyangel Runist Boots
5760      1       3       //Awakening Soul Runist Boots
5761      1       4       //Blue Eye Runist Boots
5770      1       1       //Darkangel Knight Boots
5771      1       1       //Darkangel Wizard Boots
5772      1       1       //Darkangel Elf Boots (A)
5773      1       1       //Darkangel Summoner Boots
5774      1       1       //Darkangel Magic Boots (A)
5775      1       1       //Darkangel Lord Boots
5776      1       1       //Darkangel Fighter Boots
5777      1       1       //Darkangel Lancer Boots
5782      1       2       //Holyangel Knight Boots
5783      1       2       //Holyangel Wizard Boots
5784      1       2       //Holyangel Elf Boots (A)
5785      1       2       //Holyangel Summoner Boots
5786      1       2       //Holyangel Magic Boots (A)
5787      1       2       //Holyangel Lord Boots
5788      1       2       //Holyangel Fighter Boots
5789      1       2       //Holyangel Lancer Boots
5790      1       0       //Bloodangel Elf Boots (B)
5791      1       1       //Darkangel Elf Boots (B)
5792      1       2       //Holyangel Elf Boots (B)
5793      1       0       //Bloodangel Magic Boots (B)
5794      1       1       //Darkangel Magic Boots (B)
5795      1       2       //Holyangel Magic Boots (B)
5796      1       4       //Blue Eye Knight Boots
5797      1       4       //Blue Eye Wizard Boots
5798      1       4       //Blue Eye Elf Boots (A)
5799      1       4       //Blue Eye Summoner Boots
5800      1       4       //Blue Eye Magic Boots (A)
5801      1       4       //Blue Eye Lord Boots
5802      1       4       //Blue Eye Fighter Boots
5803      1       4       //Blue Eye Lancer Boots
5804      1       4       //Blue Eye Elf Boots (B)
5805      1       4       //Blue Eye Magic Boots (B)
5812      1       0       //Bloodangel Slayer Boots
5813      1       1       //Darkangel Slayer Boots
5814      1       2       //Holyangel Slayer Boots
5815      1       3       //Soul Slayer Boots
5816      1       4       //Blue Eye Slayer Boots
5821      1       5       //Silverheart Knight Boots
5822      1       5       //Silverheart Wizard Boots
5823      1       5       //Silverheart Elf Boots (A)
5824      1       5       //Silverheart Summoner Boots
5825      1       5       //Silverheart Magic Boots (A)
5826      1       5       //Silverheart Lord Boots
5827      1       5       //Silverheart Fighter Boots
5828      1       5       //Silverheart Lancer Boots
5829      1       5       //Silverheart Elf Boots (B)
5830      1       5       //Silverheart Magic Boots (B)
5831      1       5       //Silverheart Runist Boots

//Index   Group   Value   Comment
0,81      0       5       //SH Sword
0,82      0       5       //SH Magic Sword
0,83      0       5       //SH Claw
0,84      0       5       //SH Short Sword

2,42      0       5       //SH Scepter
2,43      0       5       //SH Rune Mace

3,30      0       5       //SH Lance


4,48      0       0       //BA GC Gun
4,49      0       1       //DA GC Gun
4,50      0       2       //HA GC Gun
4,51      0       3       //AS GC Gun


4,56      0       5       //SH Bow
4,57      0       5       //SH Quiver


5,64      0       5       //SH Staff
5,65      0       5       //SH Stick
5,66      0       5       //SH Book


6,44      1       0       //BA Shield
6,45      1       1       //DA Shield
6,46      1       2       //HA Shield
6,47      1       3       //AS Shield
6,48      1       4       //BE Shield
6,49      1       5       //SH Shield



7,212     1       0       //BA GC
8,212     1       0       //BA GC
9,212     1       0       //BA GC
10,212    1       0       //BA GC
11,212    1       0       //BA GC

7,213     1       1       //DA GC
8,213     1       1       //DA GC
9,213     1       1       //DA GC
10,213    1       1       //DA GC
11,213    1       1       //DA GC

7,214     1       2       //HA GC
8,214     1       2       //HA GC
9,214     1       2       //HA GC
10,214    1       2       //HA GC
11,214    1       2       //HA GC

7,215     1       3       //AS GC
8,215     1       3       //AS GC
9,215     1       3       //AS GC
10,215    1       3       //AS GC
11,215    1       3       //AS GC


7,200     1       0       //BA DK (B)
8,200     1       0       //BA DK (B)
9,200     1       0       //BA DK (B)
10,200    1       0       //BA DK (B)
11,200    1       0       //BA DK (B)



7,201     1       1       //DA DK (B)
8,201     1       1       //DA DK (B)
9,201     1       1       //DA DK (B)
10,201    1       1       //DA DK (B)
11,201    1       1       //DA DK (B)


7,202     1       2       //HA DK (B)
8,202     1       2       //HA DK (B)
9,202     1       2       //HA DK (B)
10,202    1       2       //HA DK (B)
11,202    1       2       //HA DK (B)

7,203     1       3       //AS DK (B)
8,203     1       3       //AS DK (B)
9,203     1       3       //AS DK (B)
10,203    1       3       //AS DK (B)
11,203    1       3       //AS DK (B)

7,204     1       4       //BE DK (B)
8,204     1       4       //BE DK (B)
9,204     1       4       //BE DK (B)
10,204    1       4       //BE DK (B)
11,204    1       4       //BE DK (B)

7,205     1       5       //SH DK (B)
8,205     1       5       //SH DK (B)
9,205     1       5       //SH DK (B)
10,205    1       5       //SH DK (B)
11,205    1       5       //SH DK (B)


7,221     1       6       //New DK
7,222     1       6       //New DW
7,223     1       6       //New NE (A)
7,224     1       6       //New SU
7,225     1       6       //New MG (A)
7,226     1       6       //New DL
7,227     1       6       //New RF
7,228     1       6       //New GL
7,229     1       6       //New NE (B)
7,230     1       6       //New MG (B)
7,231     1       6       //New RW
7,232     1       6       //New SL
7,233     1       6       //New DK (B)

8,221     1       6       //New DK
8,222     1       6       //New DW
8,223     1       6       //New NE (A)
8,224     1       6       //New SU
8,225     1       6       //New MG (A)
8,226     1       6       //New DL
8,227     1       6       //New RF
8,228     1       6       //New GL
8,229     1       6       //New NE (B)
8,230     1       6       //New MG (B)
8,231     1       6       //New RW
8,232     1       6       //New SL
8,233     1       6       //New DK (B)

9,221     1       6       //New DK
9,222     1       6       //New DW
9,223     1       6       //New NE (A)
9,224     1       6       //New SU
9,225     1       6       //New MG (A)
9,226     1       6       //New DL
9,227     1       6       //New RF
9,228     1       6       //New GL
9,229     1       6       //New NE (B)
9,230     1       6       //New MG (B)
9,231     1       6       //New RW
9,232     1       6       //New SL
9,233     1       6       //New DK (B)

10,221    1       6       //New DK
10,222    1       6       //New DW
10,223    1       6       //New NE (A)
10,224    1       6       //New SU
10,225    1       6       //New MG (A)
10,226    1       6       //New DL
10,227    1       6       //New RF
10,228    1       6       //New GL
10,229    1       6       //New NE (B)
10,230    1       6       //New MG (B)
10,231    1       6       //New RW
10,232    1       6       //New SL
10,233    1       6       //New DK (B)

11,221    1       6       //New DK
11,222    1       6       //New DW
11,223    1       6       //New NE (A)
11,224    1       6       //New SU
11,225    1       6       //New MG (A)
11,226    1       6       //New DL
11,227    1       6       //New RF
11,228    1       6       //New GL
11,229    1       6       //New NE (B)
11,230    1       6       //New MG (B)
11,231    1       6       //New RW
11,232    1       6       //New SL
11,233    1       6       //New DK (B)
end
