0
//Index   Type   Rank   OptionGroup   AddOptIndex   AddOptValue   EvolutionIndex   Comment
8454      1      4      17            1             20            8455             //Trive
8455      1      4      17            1             20            *                //Trive (Evolved)
8456      1      2      19            1             5             8457             //Vogan
8457      1      2      19            1             5             *                //Vogan (Evolved)
8458      1      2      18            3             2             8459             //Cyclop
8459      1      2      18            3             2             *                //Cyclop (Evolved)
8462      1      4      20            1             20            8463             //Bonf
8463      1      4      20            1             20            *                //Bonf (Evolved)
8464      1      2      21            1             5             8465             //Hawk
8465      1      2      21            1             5             *                //Hawk (Evolved)
8466      1      2      22            3             2             8467             //Muty
8467      1      2      22            3             2             *                //Muty (Evolved)
8470      1      4      26            1             20            8471             //Mantis
8471      1      4      26            1             20            *                //Mantis (Evolved)
8472      1      2      27            1             5             8473             //Scolpy
8473      1      2      27            1             5             *                //Scolpy (Evolved)
8474      1      2      28            3             2             8475             //Chafer
8475      1      2      28            3             2             *                //Chafer (Evolved)
8476      1      3      29            1             10            8477             //Shogun
8477      1      3      29            1             10            *                //Shogun (Evolved)
8478      1      3      30            1             10            8479             //Ninja
8479      1      3      30            1             10            *                //Ninja (Evolved)
8480      1      3      31            1             10            8481             //Samurai
8481      1      3      31            1             10            *                //Samurai (Evolved)
8482      1      4      32            1             20            8483             //Cosplay Girl
8483      1      4      32            1             20            *                //Cosplay Girl (Evolved)
8484      1      2      33            1             5             8485             //Cheer Girl
8485      1      2      33            1             5             *                //Cheer Girl (Evolved)
8486      1      2      34            3             2             8487             //Sporty Girl
8487      1      2      34            3             2             *                //Sporty Girl (Evolved)
8488      1      4      24            1             20            8489             //Baal
8489      1      4      24            1             20            *                //Baal (Evolved)
8490      1      2      35            1             5             8491             //Gaap
8491      1      2      35            1             5             *                //Gaap (Evolved)
8492      1      2      25            3             2             8493             //Taaf
8493      1      2      25            3             2             *                //Taaf (Evolved)
8494      1      2      28            3             2             8495             //Frozen
8495      1      2      28            3             2             *                //Frozen (Evolved)
8496      1      2      36            1             5             8497             //Lure
8497      1      2      36            1             5             *                //Lure (Evolved)
8498      1      4      26            1             20            8499             //Fur Seal
8499      1      4      26            1             20            *                //Fur Seal (Evolved)
8500      1      4      32            1             20            8501             //Lucky Rabbit
8501      1      4      32            1             20            *                //Lucky Rabbit (Evolved)
8502      1      2      37            1             5             8503             //Mooncake Rabbit
8503      1      2      37            1             5             *                //Mooncake Rabbit (Evolved)
8504      1      2      28            3             3             8505             //Mortar Rabbit
8505      1      2      28            3             3             *                //Mortar Rabbit (Evolved)
8506      1      4      40            1             20            8507             //Tarius
8507      1      4      41            1             20            *                //Tarius (Evolved)
8508      1      2      38            1             5             8509             //Rainer
8509      1      2      38            1             5             *                //Rainer (Evolved)
8510      1      2      39            3             2             8511             //Alkamo
8511      1      2      39            3             2             *                //Alkamo (Evolved)
8512      1      4      42            1             20            8513             //Glacuse
8513      1      4      43            1             20            *                //Glacuse (Evolved)
8514      1      2      44            1             5             8515             //Kenturion
8515      1      2      44            1             5             *                //Kenturion (Evolved)
8516      1      2      34            3             2             8517             //Rocka
8517      1      2      34            3             2             *                //Rocka (Evolved)
8518      4      3      45            1             15            8519             //Repen
8519      4      3      45            1             15            *                //Repen (Evolved)
8520      4      3      46            1             15            8521             //Pawn
8521      4      3      46            1             15            *                //Pawn (Evolved)
8522      4      3      47            1             15            8523             //Griffs
8523      4      3      47            1             15            *                //Griffs (Evolved)
8524      1      4      40            1             20            8525             //Polar Bear
8525      1      4      41            1             20            *                //Polar Bear (Evolved)
8526      1      2      48            1             5             8527             //Present
8527      1      2      48            1             5             *                //Present (Evolved)
8528      1      2      25            3             3             8529             //Rocking Horse
8529      1      2      25            3             3             *                //Rocking Horse (Evolved)
8530      1      4      50            1             20            8531             //Aries
8531      1      4      51            1             20            *                //Aries (Evolved)
8532      1      2      49            1             5             8533             //Lester
8533      1      2      49            1             5             *                //Lester (Evolved)
8534      1      2      39            3             2             8535             //Merino
8535      1      2      39            3             2             *                //Merino (Evolved)
8536      1      4      40            1             20            8537             //Splinter
8537      1      4      41            1             20            *                //Splinter (Evolved)
8538      1      2      52            1             5             8539             //Mutation
8539      1      2      52            1             5             *                //Mutation (Evolved)
8540      1      2      28            3             2             8541             //Fighter
8541      1      2      28            3             2             *                //Fighter (Evolved)
8601      1      4      50            1             20            8602             //Heywood
8602      1      4      51            1             20            *                //Heywood (Evolved)
8603      1      2      53            1             5             8604             //Branch
8604      1      2      53            1             5             *                //Branch (Evolved)
8605      1      2      54            3             2             8606             //Hook
8606      1      2      54            3             2             *                //Hook (Evolved)
8607      1      4      50            1             20            8608             //Carnifle
8608      1      4      51            1             20            *                //Carnifle (Evolved)
8609      1      2      55            1             5             8610             //Mandora
8610      1      2      55            1             5             *                //Mandora (Evolved)
8611      1      2      25            3             2             8612             //Treat
8612      1      2      25            3             2             *                //Treat (Evolved)
8613      1      4      42            1             20            8614             //Rose Spirit
8614      1      4      43            1             20            *                //Rose Spirit (Evolved)
8615      1      2      57            1             5             8616             //Freesia Spirit
8616      1      2      57            1             5             *                //Freesia Spirit (Evolved)
8617      1      2      39            3             2             8618             //Cherry Blossom Spirit
8618      1      2      39            3             2             *                //Cherry Blossom Spirit (Evolved)
8619      1      4      40            1             20            8620             //Gigantes
8620      1      4      41            1             20            *                //Gigantes (Evolved)
8621      1      2      48            1             5             8622             //Mammoth
8622      1      2      48            1             5             *                //Mammoth (Evolved)
8623      1      2      25            3             2             8624             //Walker
8624      1      2      25            3             2             *                //Walker (Evolved)
8625      1      4      42            1             20            8626             //Surfing Girl
8626      1      4      43            1             20            *                //Surfing Girl (Evolved)
8627      1      2      44            1             5             8628             //Swim Tube Girl
8628      1      2      44            1             5             *                //Swim Tube Girl (Evolved)
8629      1      2      34            3             2             8630             //Snorkeling Girl
8630      1      2      34            3             2             *                //Snorkeling Girl (Evolved)
8631      1      4      50            1             20            8632             //Commander
8632      1      4      51            1             20            *                //Commander (Evolved)
8633      1      2      36            1             5             8634             //Lance Soldier
8634      1      2      36            1             5             *                //Lance Soldier (Evolved)
8635      1      2      28            3             2             8636             //Bow Soldier
8636      1      2      28            3             2             *                //Bow Soldier (Evolved)
8637      1      4      42            1             20            8638             //Hammer
8638      1      4      43            1             20            *                //Hammer (Evolved)
8639      1      2      23            1             5             8640             //Refear
8640      1      2      23            1             5             *                //Refear (Evolved)
8641      1      2      25            3             2             8642             //Axer
8642      1      2      25            3             2             *                //Axer (Evolved)
8643      1      4      50            1             20            8644             //Pumpkin Girl
8644      1      4      51            1             20            *                //Pumpkin Girl (Evolved)
8645      1      2      7             1             5             8646             //Ghost
8646      1      2      7             1             5             *                //Ghost (Evolved)
8647      1      2      54            3             2             8648             //Mummy Boy
8648      1      2      54            3             2             *                //Mummy Boy (Evolved)
8649      1      4      50            1             20            8650             //Chrysanthemum
8650      1      4      51            1             20            *                //Chrysanthemum (Evolved)
8651      1      2      23            1             5             8652             //Maple
8652      1      2      23            1             5             *                //Maple (Evolved)
8653      1      2      39            3             2             8654             //Ginkgo
8654      1      2      39            3             2             *                //Ginkgo (Evolved)
8655      1      2      7             1             5             *                //Ghost (Evolved)
8656      1      2      54            3             2             *                //Mummy Boy (Evolved)
8657      1      4      60            1             20            *                //Kris
8669      1      4      56            2             250           *                //[PC Cafe] Aries
8672      1      4      42            1             20            8673             //Toy Soldier
8673      1      4      43            1             20            *                //Toy Soldier (Evolved)
8674      1      2      59            1             5             8675             //Christmas Tree
8675      1      2      59            1             5             *                //Christmas Tree (Evolved)
8676      1      2      54            3             2             8677             //Snowman
8677      1      2      54            3             2             *                //Snowman (Evolved)
8678      1      4      50            1             20            8679             //Busker Monkey
8679      1      4      51            1             20            *                //Busker Monkey (Evolved)
8680      1      2      38            1             5             8681             //DJ Monkey
8681      1      2      38            1             5             *                //DJ Monkey (Evolved)
8682      1      2      25            3             2             8683             //Space Monkey
8683      1      2      25            3             2             *                //Space Monkey (Evolved)
8684      1      4      40            1             20            8685             //Little Cupid
8685      1      4      41            1             20            *                //Little Cupid (Evolved)
8686      1      2      49            1             5             8687             //Chocolate Cookie
8687      1      2      49            1             5             *                //Chocolate Cookie (Evolved)
8688      1      2      34            3             2             8689             //Heart Girl
8689      1      2      34            3             2             *                //Heart Girl (Evolved)
8690      1      4      50            1             20            8691             //Candy Girl
8691      1      4      51            1             20            *                //Candy Girl (Evolved)
8692      1      2      57            1             5             8693             //Lollipop Mama
8693      1      2      57            1             5             *                //Lollipop Mama (Evolved)
8694      1      2      28            3             2             8695             //Sweet Muscle Man
8695      1      2      28            3             2             *                //Sweet Muscle Man (Evolved)
end

1
//Group   Index   Value0   Value1   Value2   Value3   Value4   Value5   CondIndex   CondValue1   CondValue2
0         2       38       22       26       30       34       0        3           18           24
1         1       8        2        4        6        0        0        1           56           * 
2         4       6        2        4        0        0        0        2           1            200
3         1       24       14       16       18       20       22       4           71           * 
4         3       10       4        6        8        0        0        3           1            12
5         3       8        2        4        6        0        0        3           13           24
6         7       24       14       16       18       20       22       4           71           * 
7         4       8        2        4        6        0        0        2           201          * 
8         4       8        2        4        6        0        0        2           1            200
9         3       21       9        12       15       18       0        4           56           * 
10        3       38       23       26       29       32       35       4           71           * 
11        1       14       6        8        10       12       0        3           13           24
12        2       14       2        6        10       0        0        2           1            200
13        50      10       4        6        8        0        0        3           13           24
14        1       24       14       16       18       20       22       4           71           * 
15        7       8        2        4        6        0        0        2           1            300
16        50      10       4        6        8        0        0        4           56           * 
17        7       24       14       16       18       20       22       4           71           * 
18        50      10       4        6        8        0        0        2           201          * 
19        1       8        2        4        6        0        0        4           56           * 
20        5       19       9        11       13       15       17       4           71           * 
21        5       8        2        4        6        0        0        4           56           * 
22        50      10       4        6        8        0        0        3           13           24
23        10      8        2        4        6        0        0        4           60           * 
24        8       24       14       16       18       20       22       4           79           * 
25        53      10       4        6        8        0        0        2           201          * 
26        14      24       14       16       18       20       22       4           79           * 
27        14      8        2        4        6        0        0        3           13           24
28        53      10       4        6        8        0        0        4           60           * 
29        1       22       14       16       18       20       0        4           60           * 
30        5       17       9        11       13       15       0        4           71           * 
31        3       35       23       26       29       32       0        3           13           24
32        12      19       9        11       13       15       17       4           79           * 
33        8       8        2        4        6        0        0        2           201          * 
34        53      10       4        6        8        0        0        3           13           24
35        11      8        2        4        6        0        0        4           60           * 
36        12      8        2        4        6        0        0        3           13           24
37        17      8        2        4        6        0        0        7           5            * 
38        15      4        1        2        3        0        0        3           13           24
39        53      10       4        6        8        0        0        7           5            * 
40        8       24       14       16       18       20       22       4           79           * 
41        1       24       14       16       18       20       22       4           79           * 
42        14      24       14       16       18       20       22       4           79           * 
43        7       24       14       16       18       20       22       4           79           * 
44        2       14       2        6        10       0        0        4           60           * 
45        18      14       6        8        10       12       0        3           13           24
46        19      11       3        5        7        9        0        3           13           24
47        1       14       6        8        10       12       0        3           13           24
48        8       8        2        4        6        0        0        4           60           * 
49        10      8        2        4        6        0        0        2           201          * 
50        12      19       9        11       13       15       17       4           79           * 
51        5       19       9        11       13       15       17       4           79           * 
52        14      8        2        4        6        0        0        3           13           24
53        12      8        2        4        6        0        0        2           201          * 
54        53      10       4        6        8        0        0        3           13           24
55        15      4        1        2        3        0        0        4           60           * 
56        12      0        0        0        0        0        0        4           127          * 
57        11      8        2        4        6        0        0        3           13           24
58        2       14       2        6        10       0        0        3           18           24
59        2       14       2        6        10       0        0        4           71           * 
60        12      19       9        11       13       15       17       4           127          * 
61        9       14       2        6        10       0        0        3           13           24
68        8       12       3        5        7        9        0        4           127          * 
69        12      15       15       15       15       15       15       4           127          * 
70        12      8        2        4        6        0        0        4           60           * 
71        9       14       2        6        10       0        0        4           60           * 
72        21      10       10       10       10       10       10       4           127          *
73        53      40       25       27       29       31       0        4           127          *
end
