0
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     2      0        0
*        *       *     *     8      0        0
*        *       *     *     14     0        0
*        *       *     *     20     0        0
end

1
//Index   State   ItemIndex   ItemCount   ItemIndex   ItemCount
0         1       *           1000000     *           *
1         1       *           1000000     *           * 
2         1       *           1000000     *           *
3         1       *           1000000     *           *
4         1       *           1000000     *           *
5         0       7181        1           *           *
6         0       7182        1           *           *
7         0       7581        1           *           *
8         1       7181        1           *           *
9         1       7181        1           *           *
10        1       7581        3           7181        10
end

2         0
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
2575      9         9         9         9         9         9         9         8000         //Violent Wind Stick
2576      9         9         9         9         9         9         9         8000         //Red Wing Stick
2577      9         9         9         9         9         9         9         8000         //Ancient Stick
2578      9         9         9         9         9         9         9         8000         //Demonic Stick
2594      9         9         9         9         9         9         9         1000         //Raven Stick
7221      *         *         *         *         *         *         *         4000         //Talisman of Luck
7264      *         *         *         *         *         *         *         4000         //Talisman of Chaos Assembly
end

2         5
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
19        9         9         9         9         9         9         9         6666         //Divine Sword of Archangel
6451      *         *         *         *         *         *         5         6666         //Lemuria's Orb
6669      *         *         *         *         1         *         *         5000         //Pendant of Fire
6709      *         *         *         *         *         *         *         2500         //Condor Feather
6932      *         *         *         *         *         *         *         2500         //Conqueror's Badge
7221      *         *         *         *         *         *         *         6666         //Talisman of Luck
7392      *         *         *         *         *         *         *         6666         //Bless of Light (Greater)
7448      *         *         *         *         *         *         *         6666         //Master EXP Potion (6)
7520      *         *         *         *         *         *         *         6666         //Ruud Box (1000)
end

2         6
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
6356      *         *         *         *         *         *         5         6666         //Arca's Prophecy
6669      *         *         *         *         1         *         *         5000         //Pendant of Fire
6924      *         *         *         *         *         *         *         2500         //Dark Transformation Ring
7135      *         *         *         *         *         *         *         2500         //Event Map Ticket
7181      *         *         *         *         *         *         *         6666         //Jewel of Bless
7357      *         *         *         *         *         *         *         6666         //Elemental Talisman of Luck
7444      *         *         *         *         *         *         *         6666         //Master EXP Potion (4)
7520      *         *         *         *         *         *         *         6666         //Ruud Box(1000)
end

2         7
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
6356      *         *         *         *         *         *         5         6666         //Arca's Prophecy
6709      *         *         *         *         *         *         *         1250         //Condor Feather
6924      *         *         *         *         *         *         *         1250         //Dark Transformation Ring
7135      *         *         *         *         *         *         *         1250         //Event Map Ticket
7221      *         *         *         *         *         *         *         6666         //Talisman of Luck
end

2         8
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
6159      *         *         *         *         *         *         *         6666         //Jewel of Chaos
6593      *         *         *         *         *         *         *         2500         //300 Article Earring
6601      *         *         *         *         *         *         *         2500         //700 Article Earring
6668      *         *         *         *         1         *         *         2500         //Necklace of Lightning
6677      *         *         *         *         1         *         *         2500         //Ring of Fire
7182      *         *         *         *         *         *         *         6666         //Jewel of Soul
7184      *         *         *         *         *         *         *         6666         //Jewel of Life
7190      *         *         *         *         *         *         *         6666         //Jewel of Creation
7199      *         *         *         *         *         *         *         6666         //Guardian Jewel
7210      *         *         *         *         *         *         *         6666         //Jewel of Harmony
end

2         9  //Guardian Box
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
7645      *         *         *         *         *         *         *         500          //Seal of Ghost Horses
7634      *         *         *         *         *         *         *         500          //Sculpture
7635      *         *         *         *         1         *         *         500          //Guardian Enhanced Stone
7540      *         *         *         *         1         *         *         2500         //Bless of Ligh (Middle)
7182      *         *         *         *         *         *         *         6666         //Jewel of Soul
7184      *         *         *         *         *         *         *         6666         //Jewel of Life
7190      *         *         *         *         *         *         *         6666         //Jewel of Creation
6159      *         *         *         *         *         *         *         6666         //Jewel of Chaos
7645      *         *         *         *         *         *         *         500          //Seal of Ghost Horses
7634      *         *         *         *         *         *         *         500          //Sculpture
7635      *         *         *         *         1         *         *         500          //Guardian Enhanced Stone
end

2         10 //Miracle Coin
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
51        9         9         9         9         9         9         9         300          //Blessed Sword
7123      *         *         *         *         *         *         *         500          //Garuda Feather
6924      *         *         *         *         *         *         *         1250         //Dark Transformation Ring
7264      *         *         *         *         *         *         *         4000         //Talisman of Chaos Assembly
7567      *         *         *         *         *         *         *         200          //(Hero) Bloodangel Spirit
7166      *         *         *         *         *         *         *         2000         //Three Vacancies
7124      *         *         *         *         *         *         *         500          //Golden Sentence
7444      *         *         *         *         *         *         *         800          //Master EXP Potion (4)
7504      *         *         *         *         *         *         *         800          //Mastery Reward Chest(100)
7392      *         *         *         *         *         *         *         1000         //Bless of Light (Greater)
end

3
//Index   MinLevel   MinOption1   MinOption2   MinOption3   MinNewOption   MinSetOption   MinSocketOption   Name
1547      0          0            0            0            1              0              0                 "Excellent Brova"
2593      0          0            0            0            1              0              0                 "Excellent Chromatic Staff"
2072      0          0            0            0            1              0              0                 "Excellent Aileen Bow"
1042      0          0            0            0            1              0              0                 "Excellent Striker Scepter"
2594      0          0            0            0            1              0              0                 "Excellent Raven Stick"
end
