//Index   Group   ObjectiveMap   ObjectiveMapX   ObjectiveMapY   ObjectiveGate   ObjectiveType   ObjectiveIndex   ObjectiveCount   RewardExpValue   RewardZenValue   RewardMainIndex   RewardMainCount   RewardSideIndex   RewardSideCount   RequireMinLevel   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
38        1       0              166             225             17              2               6                10               2500             15000            7253              1                 *                 *                 5                 1       1       0       1       1       0       1       1       0       1       0
39        1       3              229             224             27              2               31               10               2500             15000            7253              1                 *                 *                 5                 0       0       1       0       0       0       0       0       1       0       0
40        1       51             142             144             267             2               419              10               2500             15000            7253              1                 *                 *                 5                 0       0       0       0       0       1       0       0       0       0       1
41        1       0              119             113             17              5               *                *                100              100              *                 *                 *                 *                 7                 1       1       0       1       1       0       1       1       0       1       0
42        1       3              173             126             27              5               *                *                100              100              *                 *                 *                 *                 7                 0       0       1       0       0       0       0       0       1       0       0
43        1       51             36              218             267             5               *                *                100              100              *                 *                 *                 *                 7                 0       0       0       0       0       1       0       0       0       0       1
44        1       51             99              49              268             5               *                *                100              100              *                 *                 *                 *                 7                 1       1       1       1       1       1       1       1       1       1       1
45        1       51             78              58              268             2               420              12               3000             17000            8232              1                 *                 *                 10                1       1       1       1       1       1       1       1       1       1       1
46        1       51             78              58              268             2               422              12               3500             17000            7541              1                 *                 *                 10                1       1       1       1       1       1       1       1       1       1       1
47        1       51             192             149             269             2               423              15               5500             17000            7253              1                 *                 *                 13                1       1       1       1       1       1       1       1       1       1       1
48        1       51             215             43              269             2               425              15               7500             17000            *                 *                 *                 *                 17                1       1       1       1       1       1       1       1       1       1       1
49        1       51             78              58              268             3               20               *                10000            10000            *                 *                 *                 *                 17                1       1       1       1       1       1       1       1       1       1       1
50        1       2              173             42              22              5               *                *                100              100              *                 *                 *                 *                 20                1       1       1       1       1       1       1       1       1       1       1
51        1       2              217             87              22              2               24               15               9500             20000            7541              1                 *                 *                 20                1       1       1       1       1       1       1       1       1       1       1
52        1       2              208             118             22              2               23               5                5500             5000             *                 *                 *                 *                 20                1       1       1       1       1       1       1       1       1       1       1
53        1       2              166             116             22              2               22               5                5500             5000             *                 *                 *                 *                 20                1       1       1       1       1       1       1       1       1       1       1
54        1       2              122             27              22              2               21               15               10500            20000            7541              1                 *                 *                 20                1       1       1       1       1       1       1       1       1       1       1
55        1       2              114             71              72              2               19               15               11000            20000            *                 *                 *                 *                 20                1       1       1       1       1       1       1       1       1       1       1
56        1       2              53              64              73              2               20               15               11500            20000            *                 *                 *                 *                 25                1       1       1       1       1       1       1       1       1       1       1
57        1       2              102             164             73              2               19               15               11500            20000            7253              1                 *                 *                 25                1       1       1       1       1       1       1       1       1       1       1
58        1       2              47              209             73              2               23               15               12000            20000            6657              1                 *                 *                 25                1       1       1       1       1       1       1       1       1       1       1
59        1       2              47              209             73              3               30               *                15000            12000            *                 *                 *                 *                 25                1       1       1       1       1       1       1       1       1       1       1
60        1       1              109             235             2               5               *                *                100              100              *                 *                 *                 *                 30                1       1       1       1       1       1       1       1       1       1       1
61        1       1              101             219             2               2               14               20               12000            20000            7541              1                 *                 *                 30                1       1       1       1       1       1       1       1       1       1       1
62        1       1              84              190             2               2               12               20               13000            20000            *                 *                 *                 *                 30                1       1       1       1       1       1       1       1       1       1       1
63        1       1              51              233             2               2               17               20               15000            20000            7253              1                 *                 *                 35                1       1       1       1       1       1       1       1       1       1       1
64        1       1              50              155             2               2               11               20               17000            20000            7541              1                 *                 *                 35                1       1       1       1       1       1       1       1       1       1       1
65        1       1              50              155             2               3               40               *                25000            20000            *                 *                 *                 *                 35                1       1       1       1       1       1       1       1       1       1       1
66        1       1              231             115             6               5               *                *                100              100              *                 *                 *                 *                 40                1       1       1       1       1       1       1       1       1       1       1
67        1       1              175             119             6               2               5                20               20000            20000            7253              1                 *                 *                 40                1       1       1       1       1       1       1       1       1       1       1
68        1       1              131             118             6               2               15               20               22000            20000            7254              1                 *                 *                 40                1       1       1       1       1       1       1       1       1       1       1
69        1       1              116             75              6               2               13               20               24000            22000            7541              1                 *                 *                 40                1       1       1       1       1       1       1       1       1       1       1
70        1       1              225             89              6               2               16               20               26000            24000            *                 *                 *                 *                 43                1       1       1       1       1       1       1       1       1       1       1
71        1       1              235             15              6               2               9                20               28000            26000            7541              1                 *                 *                 43                1       1       1       1       1       1       1       1       1       1       1
72        1       1              117             31              6               2               8                20               30000            28000            *                 *                 *                 *                 45                1       1       1       1       1       1       1       1       1       1       1
73        1       1              30              116             14              2               10               20               30000            28000            7568              1                 *                 *                 45                1       1       1       1       1       1       1       1       1       1       1
74        1       1              30              116             14              3               50               *                40000            35000            *                 *                 *                 *                 45                1       1       1       1       1       1       1       1       1       1       1
75        1       0              144             126             17              5               *                *                100              100              *                 *                 *                 *                 50                1       1       1       1       1       1       1       1       1       1       1
76        1       3              168             100             27              5               *                *                100              100              *                 *                 *                 *                 50                1       1       1       1       1       1       1       1       1       1       1
77        2       4              211             96              29              5               *                *                100              100              *                 *                 *                 *                 50                1       1       1       1       1       1       1       1       1       1       1
78        2       4              211             96              29              2               36               20               30000            28000            7541              1                 *                 *                 50                1       1       1       1       1       1       1       1       1       1       1
79        2       4              201             35              29              2               39               20               32000            30000            7253              1                 *                 *                 50                1       1       1       1       1       1       1       1       1       1       1
80        2       4              212             245             31              2               34               20               34000            32000            7254              1                 *                 *                 53                1       1       1       1       1       1       1       1       1       1       1
81        2       4              118             230             33              2               41               20               36000            34000            7255              1                 *                 *                 53                1       1       1       1       1       1       1       1       1       1       1
82        2       4              107             106             35              2               37               20               38000            36000            7541              1                 *                 *                 55                1       1       1       1       1       1       1       1       1       1       1
83        2       4              115             28              37              2               40               20               40000            38000            7568              1                 *                 *                 55                1       1       1       1       1       1       1       1       1       1       1
84        2       4              115             25              37              3               60               *                45000            40000            *                 *                 *                 *                 55                1       1       1       1       1       1       1       1       1       1       1
85        2       7              23              44              49              5               *                *                100              100              *                 *                 *                 *                 60                1       1       1       1       1       1       1       1       1       1       1
86        2       7              23              44              49              2               45               30               42000            40000            7541              1                 *                 *                 60                1       1       1       1       1       1       1       1       1       1       1
87        2       7              33              70              49              2               46               30               52000            50000            7253              1                 *                 *                 60                1       1       1       1       1       1       1       1       1       1       1
88        2       7              32              112             49              2               47               10               25000            30000            7541              1                 *                 *                 65                1       1       1       1       1       1       1       1       1       1       1
89        2       7              33              70              49              3               70               *                75000            70000            *                 *                 *                 *                 65                1       1       1       1       1       1       1       1       1       1       1
90        2       7              33              70              49              2               46               50               80000            75000            7540              1                 *                 *                 70                1       1       1       1       1       1       1       1       1       1       1
91        2       7              33              70              49              3               80               *                85000            80000            *                 *                 *                 *                 70                1       1       1       1       1       1       1       1       1       1       1
92        2       7              236             35              75              5               *                *                100              100              *                 *                 *                 *                 80                1       1       1       1       1       1       1       1       1       1       1
93        2       7              236             35              75              2               51               30               64000            62000            7541              1                 *                 *                 80                1       1       1       1       1       1       1       1       1       1       1
94        2       7              78              145             75              2               52               30               66000            64000            7253              1                 *                 *                 80                1       1       1       1       1       1       1       1       1       1       1
95        2       7              162             154             75              2               48               30               68000            66000            7541              1                 *                 *                 80                1       1       1       1       1       1       1       1       1       1       1
96        2       4              30              33              39              2               35               30               70000            68000            7568              1                 *                 *                 85                1       1       1       1       1       1       1       1       1       1       1
97        2       7              236             35              75              3               90               *                95000            90000            *                 *                 *                 *                 85                1       1       1       1       1       1       1       1       1       1       1
98        2       7              236             35              75              2               51               50               100000           95000            7540              1                 *                 *                 90                1       1       1       1       1       1       1       1       1       1       1
99        2       7              236             35              75              3               100              *                110000           100000           *                 *                 *                 *                 90                1       1       1       1       1       1       1       1       1       1       1
100       2       51             57              231             267             5               *                *                100              100              *                 *                 *                 *                 100               1       1       1       1       1       1       1       1       1       1       1
101       2       7              236             35              75              2               51               100              120000           110000           7540              1                 *                 *                 100               1       1       1       1       1       1       1       1       1       1       1
102       2       7              236             35              75              3               110              *                150000           100000           *                 *                 *                 *                 101               1       1       1       1       1       1       1       1       1       1       1
103       2       7              236             35              75              2               51               100              180000           170000           7540              1                 *                 *                 110               1       1       1       1       1       1       1       1       1       1       1
104       2       7              236             35              75              3               120              *                200000           100000           *                 *                 *                 *                 110               1       1       1       1       1       1       1       1       1       1       1
105       2       7              236             35              75              2               51               100              230000           220000           7540              1                 *                 *                 120               1       1       1       1       1       1       1       1       1       1       1
106       2       7              236             35              75              3               130              *                250000           100000           *                 *                 *                 *                 120               1       1       1       1       1       1       1       1       1       1       1
107       2       7              236             35              75              2               51               100              280000           270000           7540              1                 *                 *                 130               1       1       1       1       1       1       1       1       1       1       1
108       2       7              236             35              75              3               140              *                300000           100000           *                 *                 *                 *                 130               1       1       1       1       1       1       1       1       1       1       1
109       2       8              179             111             57              5               *                *                100              100              *                 *                 *                 *                 140               1       1       1       1       1       1       1       1       1       1       1
110       2       8              179             111             57              2               62               30               100000           95000            7540              1                 *                 *                 140               1       1       1       1       1       1       1       1       1       1       1
111       2       8              133             93              57              2               60               30               110000           100000           7253              1                 *                 *                 140               1       1       1       1       1       1       1       1       1       1       1
112       2       8              60              83              57              2               57               30               120000           110000           7540              1                 *                 *                 143               1       1       1       1       1       1       1       1       1       1       1
113       2       8              30              112             57              2               58               30               130000           120000           7568              1                 *                 *                 143               1       1       1       1       1       1       1       1       1       1       1
114       2       8              98              145             77              5               *                *                100              100              *                 *                 *                 *                 100               1       1       1       1       1       1       1       1       1       1       1
115       2       8              93              188             77              2               61               30               140000           130000           7540              1                 *                 *                 145               1       1       1       1       1       1       1       1       1       1       1
116       2       8              112             203             77              2               63               2                70000            65000            7253              1                 *                 *                 145               1       1       1       1       1       1       1       1       1       1       1
117       2       8              179             111             57              2               62               100              290000           280000           7568              1                 *                 *                 145               1       1       1       1       1       1       1       1       1       1       1
118       2       8              179             111             57              3               150              *                350000           100000           *                 *                 *                 *                 145               1       1       1       1       1       1       1       1       1       1       1
119       2       2              185             30              22              4               1                *                400000           100000           *                 *                 *                 *                 150               1       1       1       0       0       1       0       0       1       1       1
120       3       33             97              10              119             5               *                *                100              100              *                 *                 *                 *                 150               1       1       1       1       1       1       1       1       1       1       1
121       3       33             140             21              119             2               308              50               160000           150000           7540              1                 *                 *                 150               1       1       1       1       1       1       1       1       1       1       1
122       3       33             165             16              119             2               307              50               170000           160000           7253              1                 *                 *                 150               1       1       1       1       1       1       1       1       1       1       1
123       3       33             212             60              119             2               306              50               180000           170000           7254              1                 *                 *                 153               1       1       1       1       1       1       1       1       1       1       1
124       3       33             230             144             119             2               305              50               190000           180000           7255              1                 *                 *                 153               1       1       1       1       1       1       1       1       1       1       1
125       3       33             140             21              119             2               308              100              300000           290000           7568              1                 *                 *                 153               1       1       1       1       1       1       1       1       1       1       1
126       3       33             140             21              119             3               160              *                400000           100000           *                 *                 *                 *                 155               1       1       1       1       1       1       1       1       1       1       1
127       3       37             42              217             138             5               *                *                100              100              *                 *                 *                 *                 160               1       1       1       1       1       1       1       1       1       1       1
128       3       37             51              231             138             2               351              50               200000           190000           7540              1                 *                 *                 160               1       1       1       1       1       1       1       1       1       1       1
129       3       37             197             194             138             2               352              50               210000           200000           7253              1                 *                 *                 160               1       1       1       1       1       1       1       1       1       1       1
130       3       37             230             85              138             2               353              50               220000           210000           7540              1                 *                 *                 160               1       1       1       1       1       1       1       1       1       1       1
131       3       37             206             38              141             5               *                *                100              100              *                 *                 *                 *                 165               1       1       1       1       1       1       1       1       1       1       1
132       3       37             206             38              141             2               354              50               230000           220000           7540              1                 *                 *                 165               1       1       1       1       1       1       1       1       1       1       1
133       3       37             165             36              141             2               350              50               240000           230000           7253              1                 *                 *                 165               1       1       1       1       1       1       1       1       1       1       1
134       3       37             115             59              141             2               355              50               250000           240000           7254              1                 *                 *                 167               1       1       1       1       1       1       1       1       1       1       1
135       3       37             60              45              141             2               357              50               260000           250000           7255              1                 *                 *                 167               1       1       1       1       1       1       1       1       1       1       1
136       3       37             85              24              141             2               356              50               270000           260000           7540              1                 *                 *                 167               1       1       1       1       1       1       1       1       1       1       1
137       3       37             206             38              141             2               354              100              400000           390000           7569              1                 *                 *                 167               1       1       1       1       1       1       1       1       1       1       1
138       3       37             206             38              141             3               170              *                450000           100000           *                 *                 *                 *                 167               1       1       1       1       1       1       1       1       1       1       1
139       3       80             137             94              335             5               *                *                100              100              *                 *                 *                 *                 170               1       1       1       1       1       1       1       1       1       1       1
140       3       80             143             74              335             2               569              50               280000           270000           7540              1                 *                 *                 170               1       1       1       1       1       1       1       1       1       1       1
141       3       80             183             108             335             2               570              50               290000           280000           7253              1                 *                 *                 170               1       1       1       1       1       1       1       1       1       1       1
142       3       80             191             155             335             2               571              50               300000           290000           7540              1                 *                 *                 173               1       1       1       1       1       1       1       1       1       1       1
143       3       80             70              174             335             2               574              50               310000           300000           7568              1                 *                 *                 173               1       1       1       1       1       1       1       1       1       1       1
144       3       80             35              132             335             2               573              50               320000           310000           7568              1                 *                 *                 173               1       1       1       1       1       1       1       1       1       1       1
145       3       81             163             18              341             5               *                *                100              100              *                 *                 *                 *                 175               1       1       1       1       1       1       1       1       1       1       1
146       3       81             165             31              341             2               575              50               330000           320000           7540              1                 *                 *                 175               1       1       1       1       1       1       1       1       1       1       1
147       3       81             165             31              341             2               576              50               340000           330000           7253              1                 *                 *                 175               1       1       1       1       1       1       1       1       1       1       1
148       3       81             69              126             341             2               572              50               350000           340000           7540              1                 *                 *                 175               1       1       1       1       1       1       1       1       1       1       1
149       3       81             69              126             341             2               571              50               360000           350000           7568              1                 *                 *                 175               1       1       1       1       1       1       1       1       1       1       1
150       3       37             206             38              141             2               354              100              500000           490000           7569              1                 *                 *                 167               1       1       1       1       1       1       1       1       1       1       1
151       3       37             206             38              141             3               180              *                500000           100000           *                 *                 *                 *                 175               1       1       1       1       1       1       1       1       1       1       1
152       3       37             206             38              141             2               354              100              600000           590000           7569              1                 *                 *                 180               1       1       1       1       1       1       1       1       1       1       1
153       3       37             206             38              141             3               190              *                600000           100000           *                 *                 *                 *                 185               1       1       1       1       1       1       1       1       1       1       1
154       3       37             206             38              141             2               354              100              700000           690000           7569              1                 *                 *                 190               1       1       1       1       1       1       1       1       1       1       1
155       3       37             206             38              141             3               200              *                700000           100000           *                 *                 *                 *                 195               1       1       1       1       1       1       1       1       1       1       1
156       3       33             186             173             140             5               *                *                100              100              *                 *                 *                 *                 200               1       1       1       1       1       1       1       1       1       1       1
157       3       33             195             194             140             2               549              50               370000           360000           7540              1                 *                 *                 200               1       1       1       1       1       1       1       1       1       1       1
158       3       33             138             206             140             2               550              50               380000           370000           7540              1                 *                 *                 200               1       1       1       1       1       1       1       1       1       1       1
159       3       33             138             206             140             2               551              50               390000           380000           7540              1                 *                 *                 200               1       1       1       1       1       1       1       1       1       1       1
160       3       33             119             51              140             2               304              50               400000           390000           7540              1                 *                 *                 205               1       1       1       1       1       1       1       1       1       1       1
161       3       33             119             51              140             2               309              5                200000           180000           7540              1                 *                 *                 205               1       1       1       1       1       1       1       1       1       1       1
162       3       33             140             21              119             2               308              100              800000           790000           7568              1                 *                 *                 205               1       1       1       1       1       1       1       1       1       1       1
163       3       33             140             21              119             3               210              *                800000           100000           *                 *                 *                 *                 205               1       1       1       1       1       1       1       1       1       1       1
164       3       37             72              184             334             5               *                *                100              100              *                 *                 *                 *                 210               1       1       1       1       1       1       1       1       1       1       1
165       3       37             73              166             334             2               553              50               420000           410000           7540              1                 *                 *                 210               1       1       1       1       1       1       1       1       1       1       1
166       3       37             73              166             334             2               555              50               430000           420000           7540              1                 *                 *                 210               1       1       1       1       1       1       1       1       1       1       1
167       3       37             132             127             334             2               554              50               440000           430000           7540              1                 *                 *                 210               1       1       1       1       1       1       1       1       1       1       1
168       3       37             132             127             334             2               556              50               450000           440000           7540              1                 *                 *                 210               1       1       1       1       1       1       1       1       1       1       1
169       3       37             206             38              141             2               354              100              900000           890000           7568              1                 *                 *                 210               1       1       1       1       1       1       1       1       1       1       1
170       3       37             206             38              141             3               220              *                900000           100000           *                 *                 *                 *                 210               1       1       1       1       1       1       1       1       1       1       1
171       3       2              198             47              22              5               *                *                100              100              *                 *                 *                 *                 220               1       1       1       0       0       1       0       0       1       1       1
172       3       0              137             87              17              5               *                *                100              100              *                 *                 *                 *                 220               1       1       1       0       0       1       0       0       1       1       1
173       3       3              169             89              27              5               *                *                100              100              *                 *                 *                 *                 220               1       1       1       0       0       1       0       0       1       1       1
174       3       7              17              25              49              5               *                *                100              100              *                 *                 *                 *                 220               1       1       1       0       0       1       0       0       1       1       1
175       3       2              198             47              22              4               2                *                900000           100000           *                 *                 *                 *                 220               1       1       1       0       0       1       0       0       1       1       1
176       3       37             206             38              141             2               354              100              1000000          900000           7539              1                 *                 *                 220               1       1       1       1       1       1       1       1       1       1       1
177       3       37             206             38              141             3               230              *                1000000          100000           *                 *                 *                 *                 220               1       1       1       1       1       1       1       1       1       1       1
178       4       38             73              105             130             5               *                *                100              100              *                 *                 *                 *                 230               1       1       1       1       1       1       1       1       1       1       1
179       4       38             110             79              130             2               359              50               460000           450000           7539              1                 *                 *                 230               1       1       1       1       1       1       1       1       1       1       1
180       4       38             110             79              130             2               358              50               470000           460000           7253              1                 *                 *                 230               1       1       1       1       1       1       1       1       1       1       1
181       4       38             153             138             160             2               360              50               480000           470000           7539              1                 *                 *                 230               1       1       1       1       1       1       1       1       1       1       1
182       4       37             206             38              141             2               354              100              1100000          1000000          7569              1                 *                 *                 230               1       1       1       1       1       1       1       1       1       1       1
183       4       37             206             38              141             3               240              *                1100000          100000           *                 *                 *                 *                 230               1       1       1       1       1       1       1       1       1       1       1
184       4       37             206             38              141             2               354              100              1200000          1100000          7569              1                 *                 *                 240               1       1       1       1       1       1       1       1       1       1       1
185       4       37             206             38              141             3               250              *                1200000          100000           *                 *                 *                 *                 240               1       1       1       1       1       1       1       1       1       1       1
186       4       37             206             38              141             2               354              100              1300000          1200000          7569              1                 *                 *                 250               1       1       1       1       1       1       1       1       1       1       1
187       4       37             206             38              141             3               260              *                1300000          100000           *                 *                 *                 *                 250               1       1       1       1       1       1       1       1       1       1       1
188       4       37             206             38              141             2               354              100              1400000          1300000          7569              1                 *                 *                 260               1       1       1       1       1       1       1       1       1       1       1
189       4       37             206             38              141             3               270              *                1400000          100000           *                 *                 *                 *                 260               1       1       1       1       1       1       1       1       1       1       1
190       4       37             206             38              141             2               354              100              1500000          1400000          7569              1                 *                 *                 270               1       1       1       1       1       1       1       1       1       1       1
191       4       37             206             38              141             3               280              *                1500000          100000           *                 *                 *                 *                 270               1       1       1       1       1       1       1       1       1       1       1
192       4       57             223             211             287             5               *                *                100              100              *                 *                 *                 *                 280               1       1       1       1       1       1       1       1       1       1       1
193       4       57             182             204             287             2               454              50               490000           480000           7539              1                 *                 *                 280               1       1       1       1       1       1       1       1       1       1       1
194       4       57             182             204             287             2               455              50               500000           490000           7253              1                 *                 *                 280               1       1       1       1       1       1       1       1       1       1       1
195       4       57             122             181             287             2               456              50               510000           500000           7254              1                 *                 *                 280               1       1       1       1       1       1       1       1       1       1       1
196       4       57             191             137             287             2               458              50               520000           510000           7255              1                 *                 *                 280               1       1       1       1       1       1       1       1       1       1       1
197       4       57             191             137             287             2               457              50               530000           520000           7539              1                 *                 *                 280               1       1       1       1       1       1       1       1       1       1       1
198       4       57             83              116             287             2               564              50               540000           530000           7253              1                 *                 *                 285               1       1       1       1       1       1       1       1       1       1       1
199       4       57             83              116             287             2               562              50               550000           540000           7254              1                 *                 *                 285               1       1       1       1       1       1       1       1       1       1       1
200       4       57             83              116             287             2               563              50               560000           550000           7255              1                 *                 *                 285               1       1       1       1       1       1       1       1       1       1       1
201       4       57             39              87              287             2               565              50               570000           560000           7539              1                 *                 *                 285               1       1       1       1       1       1       1       1       1       1       1
202       4       37             206             38              141             2               354              100              1600000          1500000          7569              1                 *                 *                 285               1       1       1       1       1       1       1       1       1       1       1
203       4       37             206             38              141             3               290              *                1600000          100000           *                 *                 *                 *                 285               1       1       1       1       1       1       1       1       1       1       1
204       4       37             206             38              141             2               354              100              1700000          1600000          7569              1                 *                 *                 290               1       1       1       1       1       1       1       1       1       1       1
205       4       37             206             38              141             3               300              *                1700000          100000           6802              1                 *                 *                 290               1       1       1       1       1       1       1       1       1       1       1
206       4       91             53              190             417             5               *                *                100              100              6802              1                 *                 *                 300               1       1       1       1       1       1       1       1       1       1       1
207       4       91             169             214             423             2               589              200              1800000          1700000          7569              1                 6802              1                 300               1       1       1       1       1       1       1       1       1       1       1
208       4       91             169             214             423             3               320              *                1800000          100000           6802              1                 *                 *                 300               1       1       1       1       1       1       1       1       1       1       1
209       4       91             169             214             423             2               589              200              1900000          1800000          7569              1                 6802              1                 320               1       1       1       1       1       1       1       1       1       1       1
210       4       91             169             214             423             3               340              *                1900000          100000           6802              1                 *                 *                 320               1       1       1       1       1       1       1       1       1       1       1
211       4       91             169             214             423             2               589              200              2000000          1900000          7569              1                 6802              1                 340               1       1       1       1       1       1       1       1       1       1       1
212       4       91             169             214             423             3               360              *                2000000          100000           6802              1                 *                 *                 340               1       1       1       1       1       1       1       1       1       1       1
213       4       110            221             167             488             2               714              200              2100000          2000000          7569              1                 6802              1                 360               1       1       1       1       1       1       1       1       1       1       1
214       4       110            221             167             488             3               380              *                2100000          100000           6802              1                 *                 *                 360               1       1       1       1       1       1       1       1       1       1       1
215       4       110            221             167             488             2               714              200              2200000          2100000          7570              1                 6802              1                 380               1       1       1       1       1       1       1       1       1       1       1
216       4       110            221             167             488             3               400              *                2200000          100000           *                 *                 *                 *                 380               1       1       1       1       1       1       1       1       1       1       1
217       4       34             228             47              118             4               6                *                2200000          100000           *                 *                 *                 *                 400               1       1       1       1       1       1       1       1       1       1       1
end
