//Index   Message
369       "A armada de Balgass está pronta para atacar a fortaleza de Crywolf"
370       "A armada de Balgass está marchando para a fortaleza de Crywolf"
371       "A armada de Balgass está se aproximando da fortaleza de Crywolf"
372       "Nenhuma Elfa se conectou aos altares, deixando a estátua do lobo desprotegida"
373       "Balgass estará vivo até o final da batalha"
374       "A defesa falhou! A estátua do lobo sagrado foi tomada por Balgass"
375       "A defesa foi bem sucedida! A estátua do lobo sagrado foi protegida"
376       "O período de conexão com os Altares do Lobo começará em %d segundo(s)"
377       "O período de conexão com os Altares do Lobo começará em %d minuto(s)"
378       "A armada de Balgass irá atacar em %d segundos(s)"
379       "A armada de Balgass irá atacar em %d minutos(s)"
380       "Sem a proteção das Elfas a estátua do lobo sagrado ficou desprotegida"
381       "Balgass está chegando! Protejam a estátua do lobo sagrado"
382       "A armada de Balgass começou a atacar a estátua do lobo sagrado"
383       "A armada de Balgass foi derrotada com a ajuda dos heróis"
384       "MvP Rank: %d"
385       "MvP Experience: %d"
386       "Balgass foi morto por %s!"
387       "Balgass foi morto!"
388       "A Dark Elf %d foi morta por %s!"
389       "MvP Point: %d"
390       "Conectado ao altar %d"
391       "%s conectou-se ao altar %d"
392       "O altar %d foi conectado"
393       "O período de conexão ao pedestal %d não começou ainda"
394       "O altar %d já foi conectado mais de 2 vezes"
395       "A posição para conectar-se ao altar %d está errada" 
396       "%s está tentando conectar-se ao altar %d"
397       "Você será conectado ao altar em 5 segundo(s)" 
398       "Não se mova até a conexão estar completa"  
399       "A conexão com o altar %d foi cancelada"
400       "A barreira da estátua do lobo sagrado desapareceu" 
401       "Número de conexões: %d, Vida da estátua: %d" 
402       "A barreira da estátua do lobo sagrado foi criada"
403       "A conexão requer uma Elfa level 260 ou superior"
416       "O Castle Siege terminou"
417       "O período de registro do Castle Siege começou"
418       "O período de registro de emblemas do Castle Siege começou"
419       "O período de seleção das guildas do Castle Siege começou"		
420       "A seleção das guildas do Castle Siege foi concluída"
421       "O período de preparação para o Castle Siege começou"
422       "O Castle Siege irá começar em %d minuto(s)"
423       "O Castle Siege está sendo disputado"
424       "A guilda %s foi bem sucedia em defender o castelo"
425       "A guilda %s se tornou a nova dona do castelo"
426       "O dono do castelo não foi definido"
427       "Somente a Estátua do Guardião restou"
432       "A posição do jogador %s foi alterada para Assistente do Líder da Guilda"
433       "A posição do jogador %s foi alterada para Mestre de Batalha"
434       "A posição do jogador %s foi alterada para Membro da Guilda"
435       "O tipo da guilda %s foi alterado para %d"
436       "A guilda entrou na aliança %s"
437       "A guilda agora é inimiga da guilda %s"
438       "A guilda %s entrou na aliança %s"
439       "A guilda se retirou da aliança"
440       "A guilda %s se retirou da aliança %s"
441       "A guilda não é mais da aliança %s"
442       "A guilda não é mais inimiga da guilda %s"
443       "A aliança %s foi desfeita"
448       "Você não pode invocar a Life Stone fora do Castle Siege"
449       "Somente a aliança ofensiva pode invocar a Life Stone"
450       "Uma Life Stone já foi invocada"
451       "Você não pode invocar a Life Stone dentro da Torre do Dragão"
452       "A Life Stone foi invocada com sucesso"
453       "A Life Stone falhou em ser invocada"
464       "Você não pode invocar o soldado fora do Castle Siege"
465       "Somente a aliança defensiva pode invocar o soldado"
466       "Somente o líder da guilda e seu assistente podem invocar o soldado"
467       "O número máximo de soldados foi excedido"
468       "O soldado foi invocado com sucesso"
469       "O soldado falhou em ser invocado"
480       "O servidor fechou"
481       "O servidor irá fechar automáticamente em %d segundo(s)"
482       "Esse é um item duplicado, entre em contado com o administrador"
483       "O seu bloqueio do chat terminou"
484       "Você irá sair do jogo em %d segundo(s)"
485       "A auto defesa contra %s iniciou"
486       "A auto defesa contra %s terminou"
487       "O servidor irá desligar automáticamente em 1 minuto(s)"
488       "O servidor irá desligar automáticamente em 3 minuto(s)"
489       "O servidor irá desligar automáticamente em 5 minuto(s)"
490       "A partida irá começar automáticamente em 10 segundo(s)"
491       "%s ganhou %d Jewel of Bless"
492       "O Acheron Guardian irá começar em 5 minuto(s)"
493       "O Acheron Guardian começou"
494       "O Acheron Guardian terminou"
495       "O Obelisco foi destruído pelo jogador %s"
496       "O período de registro de mestres do Arca Battle começou"
497       "O período de registro de membros do Arca Battle começou"
498       "O Arca Battle está pronto para começar"
499       "A entrada para o Arca Battle foi liberada"
500       "O Arca Battle começou"
501       "O Arca Battle terminou"
512       "Você não tem permissão para utilizar o /rebuild"
513 	  "Você precisa ter no mínimo %d zen para utilizar o /rebuild"
514 	  "Você não pode rebuildar com items equipados"
515	  "Você rebuildou com sucesso, e agora tem %d pontos"
800       "[%s] irá fechar em %d minuto(s)"
801       "[%s] fechou"
802       "[%s] irá começar em %d minuto(s)"
803       "[%s] começou"
804       "[%s] terminou"
805       "[%s] %s foi o vencedor"
806       "[%s] você ficou na %dº posição com %d pontos"
807       "Você não pode entrar na arena"
808       "Essa arena não está aberta no momento"
809       "Número máximo de jogadores excedido"
810       "Você precisa ser no mínimo Level %d"
811       "Você precisa ser no máximo Level %d"
812       "Você precisa ser no mínimo Master Level %d"
813       "Você precisa ser no máximo Master Level %d"
814       "Você precisa ter no mínimo %d Resets"
815       "Você precisa ter no máximo %d Resets"
816       "Você precisa ter no mínimo %d Master Resets"
817       "Você precisa ter no máximo %d Master Resets"
818       "Sua classe não é permitida na arena"
832       "Você não tem permissão para utilizar o /attack"
833       "Você precisa ser no mínimo level %d para utilizar o comando"
834       "Você precisa ter no mínimo %d resets para utilizar o comando"
835       "Você já está utilizando o comando"
836       "Você não pode utilizar o comando neste local"
837       "Você não possuí magia necessária para utilizar o comando"
838       "Comando /attack ativado"
839       "Comando /attack desativado"
848       "Você não tem permissão para utilizar o /offattack"
849       "Você precisa ser no mínimo level %d para utilizar o comando"
850       "Você precisa ter no mínimo %d resets para utilizar o comando"
851       "Você precisa ter no mínimo %d zen para utilizar o comando"
852       "Você precisa ativar o ataque automático primeiro"
853       "Você não pode utilizar o comando neste local"
864       "[%s] irá começar em %d minuto(s)"
865       "[%s] começou"
866       "[%s] terminou"
880       "Você não tem permissão para utilizar o comando"
881       "Você não pode utilizar o comando no momento"
882       "Você selecionou uma joia inválida"
883       "Você selecionou um tamanho inválido"
884       "Você precisa de %d zen para utilizar o comando"
885       "Você não tem joias suficientes para combinar"
886       "Você não tem a joia necessária para separar"
887       "Você não tem espaço suficiente no inventório"
896       "Você não tem permissão para utilizar o /store"
897       "Você só pode ativar o comando de uma zona segura"
898       "Personal Shop vazio ou com itens sem preço"
899       "ATENÇÃO!! Todos os itens dessa loja são vendidos por Jewel of Bless"
900       "ATENÇÃO!! Todos os itens dessa loja são vendidos por Jewel of Soul"
901       "ATENÇÃO!! Todos os itens dessa loja são vendidos por Jewel of Chaos"
902       "ATENÇÃO!! Todos os itens dessa loja são vendidos por WCoinC"
903       "ATENÇÃO!! Todos os itens dessa loja são vendidos por WCoinP"
904       "ATENÇÃO!! Todos os itens dessa loja são vendidos por Goblin Point"
905       "Você precisa ser no mínimo Level %d para utilizar o /store"
906       "Você precisa ter no mínimo %d Resets para utilizar o /store"
907       "ATENÇÃO!! Todos os itens dessa loja são vendidos por Jewel of Creation"
908       "ATENÇÃO!! Todos os itens dessa loja são vendidos por Jewel of Guardian"
909       "ATENÇÃO!! Todos os itens dessa loja são vendidos por Jewel of Harmony"
910       "ATENÇÃO!! Todos os itens dessa loja são vendidos por Ruud"
912       "Você não tem permissão para utilizar o /offstore"
913       "Você precisa abrir a Personal Store antes"
914       "Você só pode ativar o comando de uma zona segura"
915       "Você precisa ser no mínimo Level %d para utilizar o /offstore"
916       "Você precisa ter no mínimo %d Resets para utilizar o /offstore"
end
