//Index   Message
336 	  "The Tower of Refinement will close in 60 minute(s)"
337 	  "The Tower of Refinement will close in 20 minute(s)"
338 	  "The Kanturu Gate will open in 1 minute(s)"
339 	  "The battle against Maya will start soon, get ready"
340 	  "The next battle will begin at 1 minute(s)"
341 	  "The Nightmare appeared! Defeat him to unlock the Tower of Refinement"
342 	  "The Nightmare was defeated! The Tower of Refinement was released"
343 	  "The time is up, you will be removed from the event"
352 	  "The Castle Deep will begin in 5 minute(s)"
353 	  "The Castle Deep started"
354 	  "The Castle Deep ended"
355 	  "The Erohim was killed by %s"
356 	  "%s was killed by the player %s"
368 	  "Balgass joined forces with Kundun army and is preparing to attack the Crywolf fortress"
369 	  "The Balgass army is ready to attack the Crywolf fortress"
370 	  "The Balgass army is marching to the Crywolf fortress"
371 	  "The Balgass army is approaching the Crywolf fortress"
372 	  "No Elf is connected to the altars, leaving the statue of the wolf unprotected"
373 	  "Balgass will be alive until the end of the battle"
374 	  "The defense failed! The statue of the holy wolf was taken by Balgass"
375 	  "The defense was successful! The statue of holy wolf was protected"
376 	  "The period of connection with the Wolf Altars starts in %d second(s)"
377 	  "The period of connection with the Wolf Altars starts in %d minute(s)"
378 	  "The Balgass army will attack in %d second(s)"
379 	  "The Balgass army will attack in %d minute(s)"
380 	  "Without the protection of the Elfs the sacred statue of the wolf was unprotected"
381 	  "Balgass is coming! Protect the sacred statue of the wolf"
382 	  "The Balgass army began attacking the statue of the sacred wolf"
383 	  "The Balgass army was defeated with the help of the heroes"
384       "MvP Rank: %d"
385       "MvP Experience: %d"
386 	  "Balgass was killed by %s!"
387 	  "Balgass was killed!"
388 	  "The Dark Elf %d was killed by %s!"
389 	  "MvP Point: %d"
390 	  "Connected altar %d"
391 	  "%s has connected to the altar %d"
392 	  "The altar %d was connected"
393 	  "The perioed of connection to the pedestal %d has not started yet"
394 	  "The Altar %d has been connected more than 2 times"
395 	  "The position for connecting the altar %d is wrong"
396 	  "%s is trying to connect to the altar %d"
397 	  "You will be connected to the altar after 5 second(s)"
398 	  "Do not move until the connection is complete"
399 	  "Connection to %d altar was canceled"
400 	  "The barrier statue of the sacred wolf disappeared"
401 	  "Number of connections: %d, Living Statue: %d"
402 	  "The barrier of the holy wolf statue was created"
403 	  "The connection requires a level 260 or higher Elf"
416       "Castle Siege finished"
417       "Castle Siege the registration period began"
418       "The registration period emblems of Castle Siege began"
419       "The period of selection of the Castle Siege guilds began"		
420       "The selection of the Castle Siege guilds completed"
421       "The preparation period to the Castle Siege began"
422       "The Castle Siege will start in %d minute(s)"
423       "The Castle Siege is being disputed"
424       "The guild %s was well succeeded in defending the castle"
425       "The guild %s has become the new owner of the castle"
426       "The owner of the castle was not set"
427       "Only the Guardian Statue left"
432       "Player %s was changed to Guild Leader Assistant"
433       "Player %s was changed to Battle Master"
434       "Player %s was changed to Member"
435       "The type of the guild %s has changed to %d"
436       "The guild joined the alliance %s"
437       "The guild is now the enemy of guild %s"
438       "The guild %s joined the alliance %s"
439       "The guild withdrew from the alliance"
440       "The guild %s withdrew from the alliance %s"
441       "The guild is no longer from the alliance %s"
442       "The guild is no longer enemy of guild %s"
443       "The alliance %s was undone"
448       "You can not summon the Life Stone outside the Castle Siege"
449       "Only the offensive alliance can summon the Life Stone"
450       "The Life Stone has already been summoned"
451       "You can not summon the Life Stone inside the Dragon Tower"
452       "The Life Stone was successfully summoned"
453       "The Life Stone failed to be summoned"
464       "You can not summon the soldier outside the Castle Siege"
465       "Only the defensive alliance can summon the soldier"
466       "Only the guild leader and his assistant can summon the soldier"
467       "The maximum number of soldiers has been exceeded"
468       "The soldier was successfully invoked"
469       "The soldier failed to be invoked"
480       "The server closed"
481       "The server will automatically close in %d second(s)"
482       "This is a duplicate item, please contact with the administrator"
483       "Your chat lockout ended"
484       "You will leave the game in %d second(s)"
485       "Self defense against %s started"
486       "Self defense against %s finished"
487       "The server will shut down automatically in 1 minute(s)"
488       "The server will shut down automatically in 3 minute(s)"
489       "The server will shut down automatically in 5 minute(s)"
490       "The match will start automatically in 10 second(s)"
491       "%s won %d Jewel of Bless"
492       "The Acheron Guardian will start in 5 minute(s)"
493       "The Acheron Guardian started"
494       "The Acheron Guardian ended"
495       "The Obelisk was destroyed by %s"
496       "The masters registration period of Arca Battle began"
497       "The members registration period of Arca Battle began"
498       "The Arca Battle is ready to start"
499       "The entrance to the Arca Battle is now available"
500       "The Arca Battle started"
501       "The Arca Battle ended"
512       "You do not have permission to use /rebuild"
513 	  "You need at least %d zen to use /rebuild"
514 	  "You can not rebuild with items equipped"
515	  "You rebuild successfully and now have %d points"
800       "[%s] will close in %d minute(s)"
801       "[%s] closed"
802       "[%s] will start in %d minute(s)"
803       "[%s] started"
804       "[%s] finished"
805       "[%s] %s was the winner"
806       "[%s] you were in %d place with %d points"
807       "You can not enter the arena"
808       "This arena is not currently open"
809       "Exceeded maximum number of players"
810       "You must be at least Level %d"
811       "You need to have at most Level %d"
812       "You must be at least Master Level %d"
813       "You need to have at most Master Level %d"
814       "You must be at least %d Resets"
815       "You need to have at most %d Resets"
816       "You must be at least %d Master Resets"
817       "You need to have at most %d Master Resets"
818       "Your class is not allowed in this event"
832       "You are not allowed to use the /attack"
833       "You need to be at least Level %d to use the command"
834       "You need to be at least %d Resets to use the command"
835       "You are already using the command"
836       "You can not use the command at this location"
837       "You do not have the skill required to use the command"
838       "Command /attack enabled"
839       "Command /attack disabled"
848       "You are not allowed to use the /offattack"
849       "You need to be at least Level %d to use the /offattack"
850       "You need to be at least %d Resets to use the /offattack"
851       "You need to be at least %d Zen to use the /offattack"
852       "You must enable /attack first"
853       "You can not use the command at this location"
864       "[%s] will start in %d minute(s)"
865       "[%s] started"
866       "[%s] finished"
880       "You are not allowed to use the command"
881       "You can not use the command at the moment"
882       "You have selected an invalid jewel"
883       "You have selected an invalid size"
884       "You need %d of zen to use the command"
885       "You do not have the jewel needed to pack"
886       "You do not have the jewel needed to unpack"
887       "You do not have enough inventory space"
896       "You are not allowed to use the /store"
897       "You can only activate the command in a safe zone"
898       "Personal Shop is empty or with items without price"
899       "ATTENTION!! All items in this store are sold for Jewel of Bless"
900       "ATTENTION!! All items in this store are sold for Jewel of Soul"
901       "ATTENTION!! All items in this store are sold for Jewel of Chaos"
902       "ATTENTION!! All items in this store are sold for WCoinC"
903       "ATTENTION!! All items in this store are sold for WCoinP"
904       "ATTENTION!! All items in this store are sold for Goblin Point"
905       "You need to be at least Level %d to use the /store"
906       "You need to have at least %d Resets to use the /store"
907       "ATTENTION!! All items in this store are sold for Jewel of Creation"
908       "ATTENTION!! All items in this store are sold for Jewel of Guardian"
909       "ATTENTION!! All items in this store are sold for Jewel of Harmony"
910       "ATTENTION!! All items in this store are sold for Ruud"
912       "You are not allowed to use the /offstore"
913       "You need to open the Personal Store before"
914       "You can only activate the command in a safe zone"
915       "You need to be at least Level %d to use the /offstore"
916       "You need to have at least %d Resets to use the /offstore"
end
