//Index   Group   StartIndex   StartValue   ObjectiveMap   ObjectiveMapX   ObjectiveMapY   ObjectiveGate   ObjectiveType   ObjectiveIndex   ObjectiveCount   ObjectiveClass   ObjectiveRatio   RewardExpValue   RewardZenValue   RewardConValue   RewardMainIndex   RewardMainLevel   RewardMainCount   RewardSideIndex   RewardSideLevel   RewardSideCount   RewardPlusIndex   RewardPlusLevel   RewardPlusCount   RequirePriority   RequireMinLevel   RequireMaxLevel   RequireFamily   RequireDoW   RequireCDW   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
18        2       1            50           0              167             129             17              5               *                1                *                *                85               100              0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
19        2       2            257          0              167             129             17              6               *                1                *                *                85               100              0                6685              1                 1                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
20        2       2            257          1              84              190             2               2               12               40               *                *                0                0                0                7170              0                 10                7173              0                 10                7203              0                 1                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
21        2       2            257          0              167             129             17              16              *                1                *                *                0                100000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
22        2       2            257          0              167             129             17              10              *                1                *                *                100000           200000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
23        2       2            257          0              167             129             17              6               *                1                *                *                85               100              0                6685              1                 1                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
24        2       2            257          1              116             75              6               2               13               60               *                *                0                0                0                7171              0                 5                 7174              0                 5                 7203              0                 2                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
25        2       2            257          0              167             129             17              16              *                3                *                *                0                200000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
26        2       2            257          0              167             129             17              10              *                1                *                *                400000           300000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
27        2       2            257          1              30              116             14              2               10               80               *                *                0                0                0                7171              0                 10                7174              0                 10                7203              0                 5                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
28        2       2            257          0              167             129             17              16              *                5                *                *                800000           500000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
29        2       2            257          0              167             129             17              10              *                1                *                *                1000000          0                0                6159              0                 1                 *                 *                 *                 *                 *                 *                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
30        2       2            257          4              107             106             35              2               37               100              *                *                0                0                0                7204              0                 5                 7206              0                 5                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
31        2       2            257          0              167             129             17              11              *                1                *                *                0                300000           0                6159              0                 1                 *                 *                 *                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
32        2       2            257          0              167             129             17              10              *                1                *                *                0                0                0                7182              0                 1                 *                 *                 *                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
33        2       2            257          10             91              63              63              2               70               100              *                *                0                0                0                7205              0                 3                 7207              0                 10                *                 *                 *                 *                 550               649               *               *            *            1       1       1       1       1       1       1       1       1       1       1
34        2       2            257          0              167             129             17              11              *                3                *                *                0                0                0                7182              0                 1                 *                 *                 *                 *                 *                 *                 *                 550               649               *               *            *            1       1       1       1       1       1       1       1       1       1       1
35        2       2            257          0              167             129             17              10              *                1                *                *                0                0                0                7181              0                 1                 *                 *                 *                 *                 *                 *                 *                 550               649               *               *            *            1       1       1       1       1       1       1       1       1       1       1
36        2       2            257          8              93              188             77              2               61               100              *                *                0                0                0                7205              0                 7                 7208              0                 10                *                 *                 *                 *                 650               769               *               *            *            1       1       1       1       1       1       1       1       1       1       1
37        2       2            257          0              167             129             17              11              *                5                *                *                0                0                0                7181              0                 1                 *                 *                 *                 *                 *                 *                 *                 650               769               *               *            *            1       1       1       1       1       1       1       1       1       1       1
38        2       2            257          0              167             129             17              10              *                1                *                *                0                0                0                7184              0                 1                 *                 *                 *                 *                 *                 *                 *                 650               769               *               *            *            1       1       1       1       1       1       1       1       1       1       1
39        2       2            257          56             227             10              278             2               444              100              *                *                0                0                0                7205              0                 10                7208              0                 15                *                 *                 *                 *                 770               *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
40        2       2            257          0              167             129             17              11              *                7                *                *                0                0                0                7182              0                 2                 *                 *                 *                 *                 *                 *                 *                 770               *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
41        2       2            257          0              167             129             17              10              *                1                *                *                0                0                0                7181              0                 2                 *                 *                 *                 *                 *                 *                 *                 770               *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
42        3       2            257          0              167             129             17              6               *                1                *                *                10000            0                0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
43        3       2            257          1              175             119             6               2               5                40               *                *                0                0                0                6674              1                 1                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
44        3       2            257          0              167             129             17              13              *                1                *                *                0                100000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
45        3       2            257          0              167             129             17              12              *                1                *                *                100000           200000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
46        3       2            257          0              167             129             17              6               *                1                *                *                200000           0                0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
47        3       2            257          1              117             31              6               2               8                40               *                *                0                0                0                6674              2                 1                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
48        3       2            257          0              167             129             17              13              *                1                *                *                0                200000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
49        3       2            257          0              167             129             17              12              *                1                *                *                400000           300000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
50        3       2            257          1              30              116             14              2               10               80               *                *                0                0                0                6674              3                 1                 *                 *                 *                 *                 *                 *                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
51        3       2            257          0              167             129             17              13              *                1                *                *                800000           500000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
52        3       2            257          0              167             129             17              12              *                1                *                *                1000000          0                0                6159              0                 1                 *                 *                 *                 *                 *                 *                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
53        3       2            257          10             66              75              63              2               71               100              *                *                0                0                0                6674              4                 1                 *                 *                 *                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
54        3       2            257          0              167             129             17              13              *                1                *                *                0                500000           0                6159              0                 1                 *                 *                 *                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
55        3       2            257          0              167             129             17              12              *                1                *                *                0                0                0                7182              0                 1                 *                 *                 *                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
56        3       2            257          8              30              112             57              2               58               100              *                *                0                0                0                6674              5                 1                 *                 *                 *                 *                 *                 *                 *                 550               649               *               *            *            1       1       1       1       1       1       1       1       1       1       1
57        3       2            257          0              167             129             17              13              *                1                *                *                0                0                0                7182              0                 1                 *                 *                 *                 *                 *                 *                 *                 550               649               *               *            *            1       1       1       1       1       1       1       1       1       1       1
58        3       2            257          0              167             129             17              12              *                1                *                *                0                0                0                7181              0                 1                 *                 *                 *                 *                 *                 *                 *                 550               649               *               *            *            1       1       1       1       1       1       1       1       1       1       1
59        3       2            257          4              38              103             35              2               72               100              *                *                0                0                0                6674              6                 1                 *                 *                 *                 *                 *                 *                 *                 650               769               *               *            *            1       1       1       1       1       1       1       1       1       1       1
60        3       2            257          0              167             129             17              13              *                1                *                *                0                0                0                7181              0                 1                 *                 *                 *                 *                 *                 *                 *                 650               769               *               *            *            1       1       1       1       1       1       1       1       1       1       1
61        3       2            257          0              167             129             17              12              *                1                *                *                0                0                0                7184              0                 1                 *                 *                 *                 *                 *                 *                 *                 650               769               *               *            *            1       1       1       1       1       1       1       1       1       1       1
62        3       2            257          38             125             97              130             2               359              100              *                *                0                0                0                6674              7                 1                 *                 *                 *                 *                 *                 *                 *                 770               *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
63        3       2            257          0              167             129             17              13              *                1                *                *                0                0                0                7182              0                 2                 *                 *                 *                 *                 *                 *                 *                 770               *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
64        3       2            257          0              167             129             17              12              *                1                *                *                0                0                0                7181              0                 2                 *                 *                 *                 *                 *                 *                 *                 770               *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
65        4       2            257          0              167             129             17              6               *                1                *                *                10000            0                0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
66        4       2            257          51             78              58              268             2               422              40               *                *                0                0                0                7187              1                 1                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
67        4       2            257          0              167             129             17              15              *                50               *                *                0                100000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
68        4       2            257          0              167             129             17              14              *                1                *                *                100000           200000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50                199               *               *            *            1       1       1       1       1       1       1       1       1       1       1
69        4       2            257          0              167             129             17              6               *                1                *                *                200000           0                0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
70        4       2            257          4              118             230             33              2               41               60               *                *                0                0                0                7187              2                 1                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
71        4       2            257          0              167             129             17              15              *                100              *                *                0                200000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
72        4       2            257          0              167             129             17              14              *                1                *                *                400000           300000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 200               299               *               *            *            1       1       1       1       1       1       1       1       1       1       1
73        4       2            257          10             17              19              63              2               69               80               *                *                0                0                0                7187              3                 1                 *                 *                 *                 *                 *                 *                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
74        4       2            257          0              167             129             17              15              *                130              *                *                800000           500000           0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
75        4       2            257          0              167             129             17              14              *                1                *                *                1000000          0                0                6159              0                 1                 *                 *                 *                 *                 *                 *                 *                 300               399               *               *            *            1       1       1       1       1       1       1       1       1       1       1
76        4       2            257          8              60              83              57              2               57               100              *                *                0                0                0                7187              4                 1                 *                 *                 *                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
77        4       2            257          0              167             129             17              15              *                160              *                *                0                500000           0                6159              0                 1                 *                 *                 *                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
78        4       2            257          0              167             129             17              14              *                1                *                *                0                0                0                7182              0                 1                 *                 *                 *                 *                 *                 *                 *                 400               549               *               *            *            1       1       1       1       1       1       1       1       1       1       1
