//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
22        "Cyclone"                            0        9       0       2       0       0       4      0        0          0           0               0              0                0       1       0       1       1       1       0       0       0       1       0
23        "Slash"                              0        10      0       2       0       0       4      0        0          0           0               0              0                0       1       0       1       1       1       0       0       0       0       0
24        "Triple Shot"                        0        5       0       0       6       0       4      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
26        "Heal"                               0        20      0       6       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
27        "Greater Defense"                    0        30      0       6       0       0       *      2        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
28        "Greater Damage"                     0        40      0       6       0       0       *      1        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
30        "Summon Goblin"                      0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
31        "Summon Stone Golem"                 0        70      0       0       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
32        "Summon Assassin"                    0        110     0       0       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
33        "Summon Elite Yeti"                  0        160     0       0       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
34        "Summon Dark Knight"                 0        200     0       0       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
35        "Summon Bali"                        0        250     0       0       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
36        "Summon Soldier"                     0        350     0       0       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
38        "Decay"                              95       110     7       6       4       0       5      55       0          0           0               0              0                2       0       0       0       0       0       0       0       0       0       0
39        "Ice Storm"                          80       100     5       6       4       0       2      56       0          0           0               0              0                2       0       0       1       0       0       0       0       1       0       0
40        "Nova"                               0        180     45      0       6       0       1      0        0          0           0               0              0                2       0       0       0       0       0       0       0       0       0       0
41        "Twisting Slash"                     0        10      10      0       3       0       4      0        0          0           0               0              0                0       1       0       1       0       0       0       0       0       1       0
42        "Rageful Blow"                       60       25      20      0       4       0       3      0        0          0           0               0              0                0       2       0       0       0       0       0       0       0       1       0
43        "Death Stab"                         70       15      12      2       2       0       4      0        0          0           0               0              0                0       2       0       0       0       0       0       0       0       0       0
44        "Crescent Moon Slash"                90       22      15      4       0       0       *      0        0          0           0               0              0                0       1       0       0       0       0       0       0       0       1       0
45        "Mana Glaive"                        90       150     10      6       0       0       *      0        0          0           0               0              0                1       0       0       0       0       1       0       0       1       0       0
46        "Starfall"                           120      20      15      8       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
47        "Impale"                             15       8       0       3       0       0       4      0        0          0           0               0              0                0       1       0       1       0       0       0       0       0       0       0
48        "Greater Life"                       0        22      24      0       5       0       *      8        0          0           0               0              0                0       1       0       0       0       0       0       0       0       0       0
49        "Fire Breath"                        30       9       0       3       0       0       1      0        0          0           0               0              0                0       1       0       0       0       0       0       0       0       0       0
50        "Monster Area Attack"                0        0       0       0       6       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
51        "Ice Arrow"                          105      10      12      8       0       0       2      57       0          0           0               0              0                0       0       2       0       0       0       0       0       0       0       0
52        "Penetration"                        70       7       9       6       6       0       4      0        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
55        "Fire Slash"                         80       15      20      2       6       0       5      58       0          0           0               0              0                0       0       0       1       0       0       0       0       0       0       0
56        "Power Slash"                        0        15      0       0       5       0       4      0        0          0           0               0              0                0       0       0       1       0       0       0       0       0       0       0
57        "Spiral Slash"                       75       20      15      5       0       0       *      0        0          0           0               0              0                0       0       0       1       0       0       0       0       0       0       0
60        "Force"                              10       10      0       4       0       0       4      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
61        "Fire Burst"                         100      25      0       6       3       0       1      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
62        "Earthquake"                         150      0       50      0       5       10000   3      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
63        "Summon Party"                       0        70      30      0       0       30000   *      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
64        "Greater Critical Damage"            0        50      50      6       6       0       *      5        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
65        "Electric Spark"                     250      0       100     0       6       5000    4      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
66        "Force Wave"                         50       10      0       4       3       0       4      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
67        "Stern"                              0        70      50      0       5       0       *      61       0          0           0               4              32               1       1       1       1       1       1       1       1       1       1       1
68        "Remove Stern"                       0        25      30      0       5       0       *      0        0          0           0               2              32               1       1       1       1       1       1       1       1       1       1       1
69        "Greater Mana"                       0        35      30      0       5       0       *      9        0          0           0               4              32               1       1       1       1       1       1       1       1       1       1       1
70        "Invisibility"                       0        80      60      6       0       0       *      18       0          0           0               5              192              1       1       1       1       1       1       1       1       1       1       1
71        "Remove Invisibility"                0        40      30      0       5       0       *      0        0          0           0               2              192              1       1       1       1       1       1       1       1       1       1       1
72        "Remove All Effect"                  0        90      70      0       5       0       *      0        0          0           0               8              128              0       0       0       0       1       0       0       0       0       0       0
73        "Mana Rays"                          85       130     7       6       0       0       *      0        0          0           0               0              0                0       0       0       1       0       0       0       0       0       0       0
74        "Fire Blast"                         150      30      10      6       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
75        "Brand"                              0        100     35      0       5       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
76        "Plasma Storm"                       60       50      20      0       5       1500    *      0        0          0           0               0              0                2       2       2       1       1       2       1       1       2       2       2
77        "Infinity Arrow"                     0        50      10      0       0       200     *      6        0          0           0               0              0                0       0       1       0       0       0       0       0       0       0       0
78        "Fire Scream"                        130      45      10      4       6       0       1      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
79        "Explosion"                          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
200       "Monster Summon"                     0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
201       "Magic Damage Immunity"              0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
202       "Physi Damage Immunity"              0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
210       "Order of Protection"                0        30      0       0       0       0       *      0        0          0           0               5              0                1       1       1       1       1       1       1       1       1       1       1
211       "Order of Restraint"                 0        30      0       3       0       0       *      0        0          0           0               5              0                1       1       1       1       1       1       1       1       1       1       1
212       "Order of Tracking"                  0        30      0       0       0       0       *      0        0          0           0               10             0                1       1       1       1       1       1       1       1       1       1       1
213       "Order of Weaken"                    0        30      0       3       0       0       *      0        0          0           0               5              0                1       1       1       1       1       1       1       1       1       1       1
214       "Drain Life"                         35       50      0       6       0       0       5      0        0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
215       "Chain Lightning"                    70       85      0       6       3       0       4      0        0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
216       "Electric Surge"                     90       100     0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
217       "Damage Reflect"                     0        40      10      6       0       5000    *      71       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
218       "Berserker"                          0        100     50      0       0       5000    *      81       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
219       "Sleep"                              0        20      3       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
221       "Lesser Damage"                      0        50      15      0       5       30000   *      76       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
222       "Lesser Defense"                     0        70      15      0       5       30000   *      77       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
223       "Sahamutt"                           40       90      5       6       3       500     1      75       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
224       "Neil"                               65       110     10      6       4       800     3      74       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
225       "Ghost Phantom"                      80       120     15      6       5       500     4      56       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
230       "Red Storm"                          95       115     7       0       5       0       4      85       0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
232       "Frozen Stab"                        110      30      24      6       3       0       2      86       0          0           0               0              0                0       2       0       0       0       0       0       0       0       0       0
233       "Magic Circle"                       0        200     50      0       0       0       *      82       0          0           0               0              0                2       0       0       0       0       0       0       0       2       0       0
234       "Shield Recover"                     0        40      10      6       0       0       *      0        0          0           0               0              0                0       0       2       0       0       0       0       0       0       0       0
235       "Multi Shot"                         40       10      7       0       6       0       4      0        0          0           0               0              0                0       0       2       0       0       0       0       0       0       0       0
236       "Sword Slash"                        140      20      25      0       5       0       1      83       0          0           0               0              0                0       0       0       1       0       0       0       0       0       0       0
237       "Lightning Storm"                    110      120     10      0       6       0       4      84       0          0           0               0              0                0       0       0       1       0       0       0       0       0       0       0
238       "Birds"                              190      50      15      0       6       0       5      0        0          0           0               0              0                0       0       0       0       1       0       0       0       0       0       0
239	  "Self Explosion"	               140	20	25	0	3	0	*      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
260       "Large Ring Blower"                  0        9       0       2       0       0       3      76       0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
261       "Upper Beast"                        0        9       0       2       0       0       1      58       0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
262       "Chain Driver"                       0        15      20      4       0       700     2      86       0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
263       "Dark Side"                          0        70      0       4       3       0       3      0        0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
264       "Dragon Lore"                        0        50      30      3       5       700     3      0        0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
265       "Dragon Slayer"                      0        100     100     4       0       3000    4      0        0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
266       "Greater Ignore Damage Rate"         0        50      10      0       0       0       *      129      0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
267       "Fitness"                            0        50      10      0       5       0       *      130      0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
268       "Greater Defense Success Rate"       0        50      10      0       5       0       *      131      0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
269       "Charge"                             90       20      15      4       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
270       "Phoenix Shot"                       0        30      0       4       3       1200    4      132      0          0           0               0              0                0       0       0       0       0       0       1       0       0       0       0
271       "Spin Step"                          100      12      0       2       2       500     2      0        0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
272       "Circle Shield"                      0        100     50      0       0       0       *      216      0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
273       "Obsidian"                           0        50      50      0       5       0       *      217      0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
274       "Magic Pin"                          80       30      20      2       0       500     2      0        0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
275       "Clash"                              50       50      50      6       0       10000   *      0        0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
276       "Harsh Strike"                       100      12      0       3       0       500     1      0        0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
277       "Shining Peak"                       70       50      20      0       4       0       4      0        0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
278       "Wrath"                              0        100     50      0       0       60000   *      218      0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
279       "Breche"                             400      40      20      0       3       500     1      83       0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
280       "Spin Step Explosion"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
281       "Magic Pin Explosion"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       1       0       0       0
282       "Spirit Hook"                        275      27      21      3       2       0       2      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
283	  "Magic Arrow"                        45       15      5       0       8       0       5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       1       0       0
284	  "Plasma Ball"                        100      120     35      0       4       4000    5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       2       0       0
285	  "Shock Blast"                        220      80      37      8       4       0       5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
286	  "Might"                              0        50      0       7       0       60000   *      293      0          0           0               0              0                0       0       0       0       0       0       0       0       2       0       0
287	  "Haste"                              0        0       50      0       7       60000   *      294      0          0           0               0              0                0       0       0       0       0       0       0       0       2       0       0
288       "Death Scythe"                       75       120     20      0       6       0       5      306      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
289       "Darkness"                           0        100     50      0       0       5000    *      301      0          0           0               0              0                0       0       0       0       0       1       0       0       0       0       0
291       "Elite Monster Skill"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
292       "Sword Inertia"                      10       5       0       0       6       0       5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       1       0
293       "Bat Flock"                          90       20      5       0       6       0       5      315      0          0           0               0              0                0       0       0       0       0       0       0       0       0       2       0
294       "Pierce Attack"                      170      30      10      6       3       0       5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
295       "Detection"                          0        100     100     0       0       5000    *      316      0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
297       "Demolish"                           0        50      0       0       5       60000   *      317      0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL
300       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
301       "Add Defense Success Rate PvP"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
302       "Add Max SD"                         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
303       "Add MP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
304       "Add Poison Resistance"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
305       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
306       "Add SD Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
307       "Add HP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
308       "Add Lightning Resistance"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
309       "Add Defense"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
310       "Add BP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
311       "Add Ice Resistance"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
312       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
313       "Add Defense Success Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
315	  "Add Armor Set Bonus"	               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
316	  "Add Reflect Damage"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
317	  "Add Energy"		               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
318	  "Add Vitality"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
319	  "Add Agility"		               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
320	  "Add Strength"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
322	  "Add DK Wing Defense"	               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
324	  "Add DK Wing Damage"	               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
325       "Add Attack Success Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
326       "Add Cyclone Improved"               0        9       0       2       0       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       3       0
327       "Add Slash Improved"                 0        10      0       2       0       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
328       "Add Falling Slash Improved"         0        9       0       3       0       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
329       "Add Lunge Improved"                 0        9       0       2       0       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0       3       0       0       0
330       "Add Twisting Slash Improved"        0        10      10      0       3       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       3       0
331       "Add Rageful Blow Improved"          60       25      22      0       4       0       3      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       3       0
332       "Add Twisting Slash Enhanced"        0        22      20      0       3       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
333       "Add Rageful Blow Enhanced"          60       50      30      0       4       0       3      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
334       "Add Max HP"                         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
335       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
336       "Add Death Stab Improved"            70       15      13      2       2       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
337       "Add Frozen Stab Improved"           110      30      24      6       3       0       2      86       0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
